Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Sales
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,3407,7,No,23,4,2,0,10,4,3,5,3,0,3,68889
34,No,Travel_Rarely,Sales,7,4,Life Sciences,1,Female,3,3,Sales Representative,2,Single,11994,0,No,11,3,3,0,13,4,3,12,6,2,11,163837
21,No,Travel_Rarely,Sales,15,2,Life Sciences,3,Male,3,1,Sales Representative,4,Single,1232,1,No,14,3,4,0,0,6,3,0,0,0,0,270073
34,Yes,Travel_Rarely,Sales,6,1,Medical,2,Male,3,1,Sales Representative,1,Single,2960,2,No,11,3,3,0,8,2,3,4,2,1,3,219769
53,No,Travel_Rarely,Sales,5,3,Other,3,Female,3,5,Sales Representative,3,Divorced,19094,4,No,11,3,4,1,26,3,2,14,13,4,8,92127
32,Yes,Travel_Frequently,Sales,16,1,Life Sciences,2,Female,1,1,Sales Representative,1,Single,3919,1,Yes,22,4,2,0,10,5,3,10,2,6,7,78072
42,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Representative,2,Married,6825,0,No,11,3,4,1,10,2,3,9,7,4,2,65165
44,No,Travel_Rarely,Sales,7,4,Medical,1,Female,2,3,Sales Representative,4,Married,10248,3,No,14,3,4,1,24,4,3,22,6,5,17,63465
46,No,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,5,Sales Representative,1,Single,18947,3,No,12,3,4,0,22,2,2,2,2,2,1,45922
33,No,Travel_Rarely,Sales,2,3,Medical,3,Male,3,1,Sales Representative,4,Single,2496,4,No,11,3,4,0,7,3,3,1,1,0,0,33211
44,No,Travel_Rarely,Sales,10,4,Other,4,Male,3,2,Sales Representative,4,Married,6465,2,Yes,13,3,4,0,9,5,4,4,2,1,3,71210
30,No,Travel_Rarely,Sales,9,2,Medical,4,Male,2,1,Sales Representative,3,Single,2206,1,No,13,3,1,0,10,5,3,10,0,1,8,31795
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,2086,3,No,14,3,3,1,19,6,4,1,0,0,0,131324
24,Yes,Travel_Rarely,Sales,1,3,Medical,2,Male,3,1,Sales Representative,4,Married,2293,2,Yes,16,3,1,1,6,2,2,2,0,2,0,165081
43,No,Travel_Rarely,Sales,2,2,Medical,4,Female,4,1,Sales Representative,3,Divorced,2645,1,No,12,3,4,2,6,3,2,5,3,1,4,234621
50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,1,Yes,14,3,3,0,3,2,3,3,2,0,2,87851
35,No,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,Married,2014,1,No,13,3,1,0,2,3,3,2,2,2,2,205263
36,No,Travel_Rarely,Sales,5,4,Life Sciences,2,Female,2,1,Sales Representative,1,Married,3419,9,Yes,14,3,4,1,6,3,4,1,1,0,0,92513
33,No,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,2,Sales Representative,1,Married,5376,2,No,19,3,1,2,10,3,3,5,3,1,3,213041
35,No,Travel_Rarely,Sales,4,2,Other,3,Male,3,1,Sales Representative,4,Divorced,1951,1,No,12,3,3,1,1,3,3,1,0,0,0,273876
27,No,Travel_Rarely,Sales,2,4,Life Sciences,4,Female,3,1,Sales Representative,1,Divorced,2341,1,No,13,3,4,1,1,6,3,1,0,0,0,30650
26,Yes,Travel_Rarely,Sales,25,3,Life Sciences,1,Male,1,1,Sales Representative,3,Single,2293,1,No,12,3,3,0,1,2,2,1,0,0,1,61250
27,No,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,3,Sales Representative,3,Single,8726,1,No,15,3,4,0,9,0,3,9,8,1,7,120764
30,No,Travel_Frequently,Sales,1,2,Medical,3,Female,3,2,Sales Representative,4,Single,4011,1,No,23,4,4,0,12,2,3,12,8,3,7,160830
41,Yes,Travel_Rarely,Sales,12,3,Technical Degree,2,Female,3,5,Sales Representative,3,Married,19545,1,No,12,3,4,0,23,0,3,22,15,15,8,48705
34,No,Non-Travel,Sales,23,4,Marketing,2,Male,3,2,Sales Representative,3,Single,4568,0,No,20,4,3,0,10,2,3,9,5,8,7,108493
37,No,Travel_Rarely,Sales,19,2,Life Sciences,2,Male,3,1,Sales Representative,2,Married,3022,4,No,21,4,1,0,8,1,3,1,0,0,0,31836
46,No,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,2,Sales Representative,4,Single,5772,4,Yes,21,4,3,0,14,4,3,9,6,0,8,255085
35,No,Travel_Rarely,Sales,8,1,Life Sciences,4,Male,4,1,Sales Representative,4,Married,2269,1,No,19,3,4,0,1,2,3,1,0,0,1,36007
48,Yes,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,2,3,Sales Representative,3,Single,5381,9,Yes,13,3,4,0,23,2,3,1,0,0,0,156418
28,Yes,Travel_Rarely,Sales,5,4,Technical Degree,3,Male,3,1,Sales Representative,3,Single,3441,1,Yes,13,3,3,0,2,3,2,2,2,2,2,140734
44,No,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,2,Sales Representative,1,Divorced,5454,5,Yes,21,4,3,1,9,2,2,4,3,1,3,106472
35,No,Non-Travel,Sales,11,2,Medical,3,Male,2,3,Sales Representative,1,Married,9884,2,Yes,13,3,3,1,10,3,3,4,0,2,3,178614
26,No,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,2,Sales Representative,4,Married,4157,7,Yes,19,3,3,1,5,2,2,2,2,0,0,52313
33,No,Travel_Frequently,Sales,1,2,Life Sciences,1,Female,3,3,Sales Representative,4,Single,13458,1,Yes,12,3,3,0,15,1,3,15,14,8,12,62243
35,No,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,3,Sales Representative,1,Married,9069,1,No,22,4,4,1,9,3,2,9,8,1,8,225139
35,No,Travel_Rarely,Sales,23,4,Medical,3,Female,3,1,Sales Representative,1,Married,4014,3,Yes,15,3,3,1,4,3,3,2,2,2,2,179178
31,No,Travel_Rarely,Sales,7,4,Life Sciences,4,Male,3,2,Sales Representative,4,Divorced,5915,3,No,22,4,4,1,10,3,2,7,7,1,7,41940
37,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,2,2,Sales Representative,3,Divorced,5993,1,No,18,3,3,1,7,2,4,7,5,0,7,96529
32,No,Travel_Rarely,Sales,1,3,Medical,1,Male,3,2,Sales Representative,4,Married,6162,1,Yes,22,4,2,1,9,3,3,9,8,7,8,92418
38,No,Travel_Frequently,Sales,29,5,Life Sciences,4,Female,3,2,Sales Representative,4,Single,2406,1,No,11,3,4,0,10,2,3,10,3,9,9,299122
50,No,Travel_Rarely,Sales,7,2,Medical,2,Female,2,5,Sales Representative,3,Divorced,18740,5,Yes,12,3,4,1,29,2,2,27,3,13,8,36512
59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,3,Sales Representative,1,Single,7637,7,No,11,3,4,0,28,3,2,21,16,7,9,108629
36,No,Travel_Rarely,Sales,8,3,Technical Degree,3,Female,3,3,Sales Representative,3,Divorced,10096,1,No,13,3,2,3,17,2,3,17,14,12,8,289521
55,No,Travel_Rarely,Sales,8,3,Medical,4,Female,3,4,Sales Representative,3,Divorced,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2,279985
36,No,Travel_Frequently,Sales,11,3,Life Sciences,2,Male,2,2,Sales Representative,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3,212430
45,No,Travel_Rarely,Sales,7,3,Life Sciences,2,Male,3,3,Sales Representative,1,Divorced,9724,2,No,17,3,3,1,25,2,3,1,0,0,0,176431
35,No,Travel_Frequently,Sales,1,3,Medical,2,Male,3,1,Sales Representative,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2,192069
36,Yes,Travel_Rarely,Sales,9,3,Medical,4,Male,2,1,Sales Representative,3,Married,3388,0,Yes,17,3,1,1,2,0,2,1,0,0,0,194214
59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,2,Sales Representative,3,Single,5473,7,No,11,3,4,0,20,2,2,4,3,1,3,100207
29,No,Travel_Rarely,Sales,2,3,Life Sciences,3,Male,3,1,Sales Representative,2,Married,2703,0,No,23,4,4,1,6,3,3,5,4,0,4,160775
31,No,Travel_Rarely,Sales,1,4,Medical,3,Male,3,1,Sales Representative,2,Single,2501,1,No,17,3,2,0,1,4,3,1,1,1,0,27921
32,No,Travel_Rarely,Sales,1,3,Life Sciences,2,Male,3,2,Sales Representative,2,Married,6220,1,No,17,3,2,2,10,3,3,10,4,0,9,41830
36,No,Travel_Rarely,Sales,6,3,Life Sciences,2,Female,4,1,Sales Representative,4,Married,3038,3,No,12,3,2,0,5,3,3,1,0,0,0,142379
31,No,Travel_Rarely,Sales,8,4,Life Sciences,3,Female,3,2,Sales Representative,4,Single,4424,1,No,23,4,4,0,11,2,3,11,7,1,8,239540
35,No,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,2,Sales Representative,1,Single,4312,0,No,14,3,2,0,16,2,3,15,13,2,8,135098
45,No,Travel_Rarely,Sales,6,4,Other,4,Male,3,3,Sales Representative,1,Married,13245,4,Yes,14,3,2,0,17,3,4,0,0,0,0,191973
37,No,Travel_Rarely,Sales,7,4,Medical,1,Male,3,3,Sales Representative,3,Single,13664,4,No,13,3,1,0,16,3,4,5,2,0,2,80711
46,No,Travel_Rarely,Sales,5,2,Medical,2,Male,3,2,Sales Representative,2,Divorced,5021,8,Yes,22,4,4,1,16,2,3,4,2,0,2,113371
30,No,Travel_Rarely,Sales,1,1,Life Sciences,4,Male,2,2,Sales Representative,4,Married,5126,1,Yes,12,3,3,2,10,1,2,10,8,3,0,195355
35,No,Travel_Rarely,Sales,1,3,Medical,2,Male,2,1,Sales Representative,3,Single,2859,1,No,18,3,1,0,6,3,3,6,4,0,4,288976
55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,3,Sales Representative,4,Married,10239,3,No,14,3,4,1,24,4,3,1,0,1,0,31541
38,No,Non-Travel,Sales,6,3,Medical,2,Female,1,2,Sales Representative,4,Divorced,5329,7,Yes,12,3,4,3,17,3,3,13,11,1,9,246795
34,No,Travel_Rarely,Sales,1,2,Medical,1,Male,3,2,Sales Representative,2,Married,4325,1,No,15,3,3,0,5,2,3,5,2,1,3,220479
56,No,Travel_Rarely,Sales,7,3,Life Sciences,4,Male,1,3,Sales Representative,4,Single,7260,4,No,11,3,1,0,37,3,2,6,4,0,2,164859
23,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,3,No,13,3,3,1,3,3,3,0,0,0,0,112546
51,No,Travel_Rarely,Sales,9,4,Life Sciences,4,Male,3,1,Sales Representative,4,Married,2075,3,No,23,4,2,2,10,4,3,4,2,0,3,72570
30,No,Travel_Rarely,Sales,2,3,Life Sciences,3,Male,2,2,Sales Representative,4,Married,4152,1,No,19,3,1,3,11,3,3,11,10,10,8,208905
46,Yes,Travel_Rarely,Sales,9,2,Medical,3,Male,2,3,Sales Representative,4,Single,9619,1,No,16,3,4,0,9,3,3,9,8,4,7,275109
40,No,Travel_Frequently,Sales,1,4,Life Sciences,3,Male,2,4,Sales Representative,2,Married,13503,1,No,22,4,4,1,22,3,2,22,3,11,11,92273
51,No,Travel_Rarely,Sales,21,4,Marketing,3,Male,3,2,Sales Representative,4,Single,5441,0,Yes,22,4,4,0,11,2,1,10,7,1,0,75757
30,No,Travel_Rarely,Sales,4,2,Medical,3,Female,2,2,Sales Representative,2,Divorced,5209,1,Yes,12,3,2,3,11,4,2,11,8,2,7,188090
46,No,Travel_Frequently,Sales,1,3,Medical,3,Male,2,3,Sales Representative,1,Married,10673,2,Yes,13,3,3,1,21,5,2,10,9,9,5,134603
32,No,Travel_Rarely,Sales,6,4,Medical,2,Male,3,2,Sales Representative,3,Single,5010,1,No,16,3,1,0,12,0,3,11,8,5,7,37118
54,No,Travel_Rarely,Sales,2,4,Technical Degree,1,Female,3,3,Sales Representative,3,Married,13549,9,No,12,3,1,1,16,5,1,4,3,0,3,273245
24,No,Travel_Rarely,Sales,3,2,Other,1,Female,3,2,Sales Representative,3,Married,4999,0,No,21,4,1,1,4,2,2,3,2,0,2,161120
28,No,Non-Travel,Sales,4,3,Medical,2,Male,3,2,Sales Representative,3,Married,4221,1,No,15,3,2,0,5,3,4,5,4,0,4,73412
58,No,Travel_Rarely,Sales,10,4,Medical,4,Male,3,4,Sales Representative,3,Single,13872,0,No,13,3,3,0,38,1,2,37,10,1,8,97166
44,No,Non-Travel,Sales,23,3,Medical,2,Male,3,2,Sales Representative,2,Married,2042,4,No,12,3,3,1,17,3,4,3,2,1,2,191009
37,Yes,Travel_Rarely,Sales,6,4,Human Resources,3,Male,3,1,Sales Representative,1,Divorced,2073,4,Yes,22,4,4,0,7,3,3,3,2,0,2,230237
32,No,Travel_Rarely,Sales,1,1,Life Sciences,4,Male,3,1,Sales Representative,1,Single,2956,1,No,13,3,4,0,1,2,3,1,0,0,0,276921
20,Yes,Travel_Frequently,Sales,6,3,Life Sciences,4,Female,2,1,Sales Representative,4,Single,2926,1,Yes,18,3,2,0,1,5,3,1,0,1,0,237195
34,No,Travel_Rarely,Sales,6,4,Other,1,Female,3,2,Sales Representative,3,Single,4809,1,No,14,3,3,0,16,3,3,16,13,2,10,121837
37,No,Non-Travel,Sales,2,2,Life Sciences,3,Male,2,2,Sales Representative,4,Divorced,5163,5,No,14,3,4,1,17,2,4,1,0,0,0,284560
59,No,Non-Travel,Sales,2,4,Human Resources,3,Female,2,5,Sales Representative,4,Married,18844,9,No,21,4,4,1,30,3,3,3,2,2,2,270970
50,No,Travel_Frequently,Sales,1,3,Life Sciences,1,Female,3,5,Sales Representative,2,Married,18172,3,Yes,19,3,1,0,28,1,2,8,3,0,7,153613
25,Yes,Travel_Rarely,Sales,5,3,Marketing,3,Male,2,2,Sales Representative,3,Single,5744,1,Yes,11,3,4,0,6,1,3,6,4,0,3,236064
25,No,Travel_Rarely,Sales,7,1,Medical,4,Male,2,1,Sales Representative,4,Married,2889,1,No,11,3,3,2,2,2,3,2,2,2,1,221825
22,No,Travel_Rarely,Sales,15,3,Medical,2,Female,3,1,Sales Representative,4,Single,2871,1,No,15,3,3,0,1,5,3,0,0,0,0,81904
51,No,Travel_Frequently,Sales,1,4,Medical,1,Female,2,3,Sales Representative,1,Single,7484,3,No,20,4,3,0,23,1,2,13,12,12,8,285293
34,Yes,Travel_Frequently,Sales,7,3,Life Sciences,1,Male,1,2,Sales Representative,3,Single,6074,1,Yes,24,4,4,0,9,3,3,9,7,0,6,214973
54,No,Non-Travel,Sales,26,3,Human Resources,4,Female,4,4,Sales Representative,4,Single,17328,2,Yes,12,3,3,0,23,3,3,5,3,4,4,89069
24,No,Travel_Rarely,Sales,18,1,Life Sciences,2,Male,3,1,Sales Representative,3,Married,2774,0,No,12,3,3,1,6,2,3,5,3,1,2,291306
34,No,Travel_Rarely,Sales,6,4,Life Sciences,3,Female,2,2,Sales Representative,2,Divorced,4505,6,No,15,3,3,1,12,3,3,1,0,0,0,206026
37,No,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,3,3,Sales Representative,4,Single,7428,2,No,12,3,1,0,12,3,3,5,3,1,3,298052
34,No,Travel_Rarely,Sales,5,3,Medical,3,Female,2,3,Sales Representative,1,Single,11631,2,No,12,3,4,0,14,6,3,11,10,5,8,39632
36,No,Travel_Frequently,Sales,11,2,Technical Degree,2,Female,3,3,Sales Representative,4,Married,9738,0,No,14,3,3,1,10,6,3,9,7,2,8,156756
36,No,Travel_Rarely,Sales,3,2,Life Sciences,1,Female,3,1,Sales Representative,4,Divorced,2835,5,No,22,4,1,1,7,2,3,1,0,0,0,273517
43,No,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,3,4,Sales Representative,4,Married,16959,1,Yes,12,3,4,2,25,3,4,25,12,4,12,184272
30,No,Travel_Frequently,Sales,23,3,Life Sciences,1,Male,1,1,Sales Representative,3,Divorced,2613,1,No,25,4,3,3,10,2,2,10,7,0,9,223282
33,No,Non-Travel,Sales,22,2,Marketing,3,Male,3,2,Sales Representative,2,Married,6146,0,No,13,3,1,1,8,2,4,7,7,0,7,172526
56,Yes,Travel_Rarely,Sales,14,4,Life Sciences,2,Female,3,1,Sales Representative,2,Married,4963,9,Yes,18,3,1,3,7,2,3,5,4,4,3,93607
51,No,Travel_Rarely,Sales,6,3,Life Sciences,1,Male,3,5,Sales Representative,3,Single,19537,7,No,13,3,3,0,23,5,3,20,18,15,15,171329
31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,1,2,Sales Representative,3,Married,6172,4,Yes,18,3,2,0,12,3,2,7,7,7,7,178406
26,No,Travel_Rarely,Sales,6,3,Other,3,Female,2,1,Sales Representative,2,Married,2368,1,No,19,3,3,0,5,3,2,5,4,4,3,27968
58,Yes,Travel_Rarely,Sales,23,4,Medical,4,Female,3,3,Sales Representative,4,Married,10312,1,No,12,3,4,1,40,3,2,40,10,15,6,198390
19,Yes,Travel_Rarely,Sales,22,1,Marketing,4,Male,3,1,Sales Representative,3,Single,1675,1,Yes,19,3,4,0,0,2,2,0,0,0,0,188533
22,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,4,Married,2523,0,No,14,3,3,1,3,2,3,2,1,2,1,152513
49,No,Travel_Rarely,Sales,20,4,Medical,3,Female,3,2,Sales Representative,1,Married,6567,1,No,14,3,3,0,16,2,2,15,11,5,11,249003
43,No,Travel_Frequently,Sales,28,3,Medical,2,Female,4,1,Sales Representative,3,Single,4739,4,No,12,3,4,0,18,2,3,3,2,1,2,110321
50,No,Travel_Frequently,Sales,12,3,Marketing,3,Female,3,3,Sales Representative,4,Single,9208,4,No,11,3,4,0,16,3,3,2,2,2,1,140882
31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,1,2,Sales Representative,3,Married,4559,3,Yes,11,3,3,1,4,2,3,2,2,2,2,73070
41,No,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,3,3,Sales Representative,3,Divorced,8189,3,Yes,13,3,3,1,12,2,3,9,7,0,7,46525
26,No,Travel_Rarely,Sales,25,1,Life Sciences,3,Female,3,1,Sales Representative,3,Married,2942,1,No,23,4,4,1,8,3,3,8,7,5,7,207106
36,No,Travel_Rarely,Sales,6,2,Medical,2,Male,3,2,Sales Representative,2,Divorced,4941,6,No,20,4,4,2,7,0,3,3,2,0,1,152835
51,Yes,Travel_Frequently,Sales,8,4,Life Sciences,1,Male,1,3,Sales Representative,4,Single,10650,2,No,15,3,4,0,18,2,3,4,2,0,3,102922
39,No,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,2,2,Sales Representative,3,Married,5902,4,No,14,3,3,1,17,1,4,15,11,5,9,54685
25,No,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,2,2,Sales Representative,3,Married,8639,2,No,18,3,4,0,6,3,3,2,2,2,2,177996
30,No,Travel_Rarely,Sales,9,3,Human Resources,3,Male,3,2,Sales Representative,4,Married,6347,0,Yes,19,3,4,0,12,2,1,11,9,4,7,145370
32,Yes,Travel_Rarely,Sales,9,3,Medical,1,Female,3,1,Sales Representative,1,Single,4200,7,No,22,4,1,0,10,2,4,5,4,0,4,29999
45,No,Travel_Rarely,Sales,29,3,Medical,3,Male,3,1,Sales Representative,4,Single,3452,5,No,13,3,2,0,9,2,2,6,5,0,3,289069
38,No,Travel_Rarely,Sales,3,5,Technical Degree,4,Female,3,2,Sales Representative,3,Single,4317,3,Yes,20,4,2,0,19,2,3,3,2,2,2,211636
30,No,Travel_Rarely,Sales,18,3,Life Sciences,1,Female,3,1,Sales Representative,3,Single,2632,1,No,14,3,3,0,5,4,2,5,4,0,4,276741
32,No,Travel_Frequently,Sales,9,2,Medical,4,Male,1,2,Sales Representative,4,Divorced,4668,0,No,17,3,4,3,9,2,4,8,7,0,7,238021
30,No,Travel_Rarely,Sales,5,3,Technical Degree,4,Female,3,1,Sales Representative,1,Divorced,3204,5,No,14,3,4,1,8,3,3,3,2,2,2,87953
30,No,Travel_Rarely,Sales,2,1,Medical,2,Male,2,1,Sales Representative,4,Single,2720,0,No,13,3,4,0,6,3,3,5,3,1,2,138504
41,No,Travel_Frequently,Sales,10,3,Life Sciences,4,Male,2,4,Sales Representative,1,Divorced,17181,4,No,13,3,2,1,21,2,2,7,6,7,7,257011
41,No,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,3,1,Sales Representative,1,Married,2238,2,No,21,4,4,1,7,2,3,5,0,1,4,181235
19,No,Travel_Rarely,Sales,3,1,Medical,2,Female,3,1,Sales Representative,2,Single,1483,1,No,14,3,4,0,1,3,3,1,0,0,0,181744
40,No,Travel_Frequently,Sales,26,3,Medical,2,Female,3,2,Sales Representative,2,Divorced,5605,1,No,11,3,1,1,20,2,3,20,7,2,13,107345
35,No,Travel_Rarely,Sales,1,5,Marketing,3,Male,3,3,Sales Representative,2,Married,7295,1,No,13,3,1,2,10,3,3,10,8,0,6,54486
53,No,Travel_Rarely,Sales,6,2,Marketing,2,Male,3,2,Sales Representative,3,Married,2306,2,Yes,20,4,4,1,13,3,1,7,7,4,5,287797
45,No,Travel_Rarely,Sales,9,3,Life Sciences,2,Male,3,2,Sales Representative,2,Divorced,2348,8,No,18,3,3,1,20,2,1,17,9,0,15,64684
32,No,Travel_Frequently,Sales,8,3,Marketing,2,Female,3,3,Sales Representative,4,Single,8998,1,No,14,3,4,0,9,2,3,9,8,3,7,223036
29,No,Non-Travel,Sales,1,1,Technical Degree,4,Male,3,2,Sales Representative,3,Married,4319,1,No,13,3,1,1,10,1,3,10,7,0,9,125663
51,No,Travel_Rarely,Sales,7,4,Medical,2,Male,2,2,Sales Representative,3,Married,6132,2,No,17,3,3,0,10,2,3,1,0,0,0,111190
58,No,Travel_Rarely,Sales,9,3,Medical,2,Female,2,1,Sales Representative,2,Married,3346,4,Yes,20,4,2,1,9,3,2,1,0,0,0,285185
40,No,Travel_Rarely,Sales,4,4,Marketing,3,Male,2,3,Sales Representative,4,Married,10855,7,No,11,3,1,1,15,2,2,12,11,2,11,286740
34,No,Travel_Frequently,Sales,2,4,Marketing,3,Female,3,1,Sales Representative,3,Married,2231,6,No,18,3,4,1,6,3,3,4,3,1,2,195100
22,No,Travel_Rarely,Sales,19,1,Medical,3,Male,3,1,Sales Representative,4,Married,2323,1,No,24,4,1,2,2,6,3,2,2,2,2,193448
27,No,Non-Travel,Sales,9,3,Medical,4,Male,3,1,Sales Representative,2,Divorced,2024,6,No,18,3,4,1,6,1,1,2,2,2,2,206046
28,No,Travel_Rarely,Sales,21,3,Medical,3,Male,3,1,Sales Representative,4,Married,2713,1,No,11,3,3,1,5,2,1,5,2,0,2,131153
57,No,Travel_Rarely,Sales,24,2,Life Sciences,3,Male,4,3,Sales Representative,4,Divorced,9439,3,Yes,16,3,2,1,12,2,1,5,3,1,4,193950
27,No,Non-Travel,Sales,3,3,Medical,3,Male,2,1,Sales Representative,3,Divorced,2566,1,Yes,15,3,4,1,1,2,2,1,1,0,1,230644
50,No,Travel_Rarely,Sales,11,3,Life Sciences,3,Female,3,5,Sales Representative,2,Single,19926,3,No,15,3,2,0,21,5,3,5,4,4,4,289188
41,No,Travel_Rarely,Sales,14,3,Life Sciences,1,Male,3,1,Sales Representative,3,Divorced,2451,4,No,12,3,1,1,13,2,3,9,8,1,8,137238
