Employee Number,Age,MaritalStatus,Gender,Education,EducationField,RelationshipSatisfaction,DistanceFromHome,Games,Performance Ranking,Attendance (%),Errors per shift,TrainingTimesLastYear,Hours Worked TTM,Hours Worked  3 YR,Hours Worked 5 YR,OverTime,TTM Revenue,3 YR Revenue,5 YR Revenue,NumCompaniesWorked,TotalWorkingYears,Annual Salary,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,Attrition
22,57,Single,Female,3,Marketing,5,41,Black Jack,3,73,1,3,2428,2903,4760,Yes,67720,147398,338600,4,17,81326,2,25,9,5,4,4,1,Yes
23,63,Married,Male,2,Life Sciences,5,25,Black Jack,3,94,4,7,1600,1374,4968,No,56999,169157,284995,0,26,52024,4,17,5,7,2,4,2,No
24,24,Divorced,Female,1,Medical,2,36,Black Jack,1,65,8,2,2931,2599,3611,Yes,71165,143893,355825,5,6,45019,7,5,6,9,0,2,2,Yes
25,55,Divorced,Female,2,Marketing,2,34,Black Jack,1,78,6,6,2284,1112,6204,No,56556,151735,282780,5,0,58998,10,12,15,8,0,4,2,Yes
26,39,Single,Male,4,Marketing,4,10,Black Jack,3,100,1,0,1105,1152,4190,Yes,71977,155036,359885,6,12,72218,8,23,5,2,5,2,3,Yes
27,45,Single,Female,4,Life Sciences,1,16,Black Jack,3,46,5,9,1030,1749,4233,Yes,66717,160656,200151,0,3,45839,5,3,0,5,9,4,4,No
28,45,Divorced,Male,4,Marketing,1,8,Black Jack,4,64,9,3,2214,2064,6164,No,48147,164124,240735,3,3,70668,3,12,15,9,4,1,2,No
29,44,Married,Female,4,Life Sciences,2,32,Black Jack,1,43,5,5,1191,2075,4731,No,63511,138210,317555,6,11,82011,2,8,6,4,2,1,2,No
30,47,Single,Female,2,Marketing,1,1,Baccarat,3,69,4,9,1677,1316,4829,Yes,44687,167027,223435,0,18,48179,3,5,7,4,5,4,3,Yes
31,65,Married,Female,3,Medical,4,31,Baccarat,4,47,3,8,1790,2678,4684,No,43486,167883,217430,5,6,73438,6,13,2,8,8,4,1,No
32,54,Married,Male,3,Marketing,3,31,Baccarat,2,45,8,5,2868,2292,4175,Yes,66904,150699,334520,6,16,71276,10,23,11,1,2,1,1,No
33,47,Divorced,Female,4,Technical Degree,3,50,Baccarat,1,53,4,8,2713,1394,6206,Yes,45745,163371,182980,1,12,43587,6,4,2,4,0,3,2,No
34,54,Married,Male,1,Technical Degree,2,19,Baccarat,4,54,8,1,2060,1843,3182,No,68634,149883,343170,1,4,54020,8,19,4,3,2,3,4,Yes
35,64,Divorced,Male,3,Life Sciences,3,21,Baccarat,4,99,5,9,2888,2939,5236,Yes,56138,151822,280690,4,16,27241,4,18,2,4,5,4,4,Yes
36,58,Married,Male,1,Medical,5,38,Baccarat,1,32,7,9,1737,1813,5533,No,74980,155567,374900,6,21,31780,9,6,11,5,2,2,1,No
37,30,Married,Female,2,Medical,3,44,Baccarat,2,84,3,0,1529,1953,4356,No,46535,168101,232675,2,22,75930,7,25,10,10,6,2,3,No
38,40,Married,Male,4,Life Sciences,4,34,Baccarat,3,51,8,0,2926,1709,5898,No,46306,138550,231530,5,25,53531,7,6,5,1,7,4,1,No
39,26,Married,Male,1,Technical Degree,5,48,Baccarat,2,67,2,5,1830,2241,5576,Yes,52688,157995,263440,7,24,80281,10,18,13,3,2,1,4,No
40,39,Married,Female,2,Life Sciences,5,3,Baccarat,4,64,6,4,1343,1876,4703,No,73409,73409,73409,0,1,70542,1,1,9,9,5,2,2,No
41,37,Single,Female,4,Medical,5,26,Baccarat,2,57,2,10,1524,1856,4181,Yes,74487,163934,372435,1,13,44451,6,16,6,4,7,3,3,Yes
42,34,Single,Male,1,Life Sciences,2,3,Baccarat,3,83,2,9,2162,2076,4629,No,71837,167146,359185,2,6,52963,8,26,9,4,3,4,3,Yes
43,33,Single,Female,4,Marketing,3,31,Baccarat,4,56,10,9,1071,2421,4973,No,68539,158802,342695,1,10,38844,1,7,9,0,0,2,4,Yes
44,58,Single,Male,3,Other,2,22,Baccarat,2,92,7,10,2906,2524,4559,Yes,55170,55170,55170,5,1,52380,6,1,4,4,10,4,2,Yes
45,55,Single,Male,2,Marketing,3,12,Baccarat,2,70,5,0,2503,1052,4008,No,61399,144550,306995,0,18,53192,3,8,6,7,6,2,1,No
46,38,Married,Female,2,Life Sciences,2,50,Baccarat,1,92,2,0,1936,1064,4858,No,43589,165567,217945,5,2,52546,6,10,7,4,10,4,1,No
47,31,Married,Female,4,Marketing,2,50,Baccarat,1,94,6,2,1427,2703,4501,No,59966,169914,299830,0,24,35291,10,17,4,7,1,4,1,No
48,36,Single,Male,4,Medical,5,28,Baccarat,3,86,2,6,2301,2713,3829,Yes,62197,142611,248788,6,17,63241,2,4,10,2,6,1,2,No
49,29,Single,Female,4,Life Sciences,1,27,Baccarat,1,36,2,1,2617,1502,4699,No,51699,103398,103398,7,15,32922,10,2,14,7,10,2,2,No
50,40,Married,Female,2,Medical,1,28,Baccarat,4,64,5,7,2300,1364,4324,No,73414,163685,367070,4,18,59544,6,18,2,6,6,1,3,No
51,63,Married,Female,1,Life Sciences,2,17,Baccarat,3,90,9,7,2282,1182,3626,No,75345,170791,376725,3,13,68067,4,14,13,3,10,2,1,No
52,33,Divorced,Male,4,Marketing,3,38,Baccarat,1,68,6,3,1831,1018,5734,No,41481,149688,207405,6,3,69425,10,16,6,7,3,1,4,No
53,34,Divorced,Female,3,Life Sciences,5,8,Baccarat,4,83,6,4,2051,2500,4899,No,69788,153898,348940,1,10,65831,5,7,3,8,0,2,1,No
54,59,Married,Male,3,Marketing,3,1,Baccarat,3,79,9,0,1063,1863,5145,No,54842,152314,274210,7,10,45157,5,9,10,4,1,2,2,Yes
55,58,Single,Female,4,Technical Degree,2,4,Baccarat,3,44,10,8,2551,2032,5821,Yes,77925,77925,77925,4,3,29092,6,1,12,4,10,1,2,Yes
56,46,Single,Male,2,Marketing,5,1,Baccarat,1,72,6,7,2657,2747,5593,Yes,57615,57615,57615,6,2,80047,4,1,3,5,0,2,3,Yes
57,46,Single,Female,4,Life Sciences,4,42,Baccarat,4,42,1,8,2211,2486,5063,No,62615,158203,313075,7,25,52105,8,19,1,8,2,3,2,Yes
58,47,Married,Female,2,Technical Degree,1,22,Baccarat,1,79,3,6,1747,1483,4328,No,71002,151172,355010,7,13,64945,5,9,14,8,6,4,1,No
59,31,Single,Male,1,Marketing,3,47,Baccarat,1,77,3,0,2284,2151,3784,No,43188,146006,215940,1,11,58014,5,7,14,2,3,3,2,No
60,59,Single,Male,4,Life Sciences,5,22,Baccarat,1,64,5,5,2785,1289,5215,No,55489,55489,55489,1,17,33574,6,1,8,9,5,4,2,No
61,50,Single,Male,1,Marketing,4,5,Baccarat,2,35,9,3,1711,1141,4190,No,66646,145736,333230,2,11,39679,9,6,15,9,10,2,3,Yes
62,23,Married,Male,4,Technical Degree,5,10,Baccarat,3,52,5,2,1265,1639,4081,No,53960,159632,269800,3,5,27119,9,6,15,2,5,1,2,No
63,41,Single,Male,2,Life Sciences,3,35,Baccarat,1,38,1,3,1322,2788,3636,No,46621,147079,233105,1,23,45805,4,16,5,7,9,2,3,No
64,39,Single,Male,1,Medical,1,7,Baccarat,2,71,7,6,1297,1568,3946,No,76479,162220,382395,5,0,54705,6,18,13,2,3,3,3,No
65,49,Divorced,Male,1,Marketing,1,35,Baccarat,3,29,5,9,2483,1967,4044,No,56691,143320,283455,7,25,59767,6,6,10,0,2,3,2,Yes
66,59,Single,Female,4,Medical,5,36,Baccarat,4,47,3,8,2925,1193,5574,No,51115,156284,255575,2,23,55147,8,18,4,3,6,3,4,No
67,64,Divorced,Male,1,Life Sciences,3,7,Baccarat,3,28,5,3,1554,1587,4931,No,52823,105646,105646,0,26,70425,2,2,2,8,3,3,2,No
68,48,Single,Male,3,Medical,3,40,Baccarat,2,26,7,3,2973,2021,5282,No,73227,145140,366135,0,14,27326,10,9,2,6,1,1,1,No
69,63,Single,Male,1,Life Sciences,2,19,Baccarat,2,69,4,5,1315,2792,5877,No,69075,165854,345375,1,13,54341,4,16,3,10,9,1,1,No
70,47,Married,Male,3,Technical Degree,3,3,Baccarat,1,54,2,1,1733,1071,3628,No,76848,153696,153696,0,10,29736,5,2,9,9,7,3,3,Yes
71,62,Married,Female,2,Medical,5,30,Baccarat,1,47,4,7,2176,2074,5286,No,56499,160365,282495,0,16,69858,1,10,5,7,6,3,4,No
72,61,Divorced,Male,4,Technical Degree,4,44,Baccarat,2,98,5,0,1743,2010,3365,No,55451,151922,277255,3,14,52508,3,15,7,7,6,1,2,No
73,63,Single,Male,3,Technical Degree,4,34,Baccarat,1,35,6,0,1485,2400,5316,No,77513,162948,387565,5,7,49555,9,9,9,9,2,1,3,Yes
74,58,Single,Female,4,Other,2,43,Baccarat,3,44,6,6,1664,1998,5176,No,78745,144647,393725,6,24,71534,5,12,8,0,3,3,1,No
75,23,Married,Male,2,Medical,1,9,Baccarat,1,79,7,10,2695,2022,4185,No,67560,151457,337800,2,17,63599,3,7,6,7,7,2,1,No
76,64,Single,Female,3,Life Sciences,5,33,Baccarat,4,25,5,0,1120,2412,3654,No,67140,159521,335700,1,10,68446,9,12,6,5,9,3,3,Yes
77,42,Single,Male,3,Technical Degree,3,30,Baccarat,4,38,2,4,1530,2828,5841,No,62718,140455,313590,2,18,60005,6,10,9,8,9,1,1,No
78,57,Single,Male,1,Technical Degree,5,13,Baccarat,4,80,6,4,1206,2890,5360,No,49011,147640,245055,7,21,52969,9,24,7,6,3,2,2,No
79,28,Single,Female,3,Medical,2,4,Baccarat,2,61,4,9,2550,1673,6102,No,51588,149718,257940,2,17,40575,6,21,15,3,7,1,1,Yes
80,54,Married,Male,3,Medical,4,17,Baccarat,1,45,3,1,1681,1951,4158,No,43154,43154,43154,3,22,53868,7,1,8,1,3,2,3,No
81,49,Single,Male,2,Medical,5,13,Baccarat,1,77,5,0,2530,1771,3832,No,75549,168064,377745,1,24,79408,8,16,3,5,6,1,3,Yes
82,43,Single,Female,4,Technical Degree,1,36,Baccarat,3,33,7,7,1797,2355,4766,No,71255,71255,71255,2,9,46116,5,1,8,8,2,3,4,Yes
83,30,Single,Female,1,Medical,5,26,Baccarat,1,29,2,10,2667,2128,5481,No,46695,151700,233475,2,6,59210,7,12,3,7,3,2,1,No
84,63,Single,Female,4,Technical Degree,3,31,Baccarat,4,60,3,8,1078,2675,5354,Yes,44202,167899,221010,7,23,53800,7,15,13,3,10,2,2,No
85,41,Single,Female,3,Technical Degree,1,29,Baccarat,4,31,3,4,1691,1946,5946,Yes,76362,152724,152724,4,15,69346,9,2,6,7,0,3,4,No
86,31,Single,Female,4,Technical Degree,2,45,Baccarat,1,44,5,9,1865,1715,5591,Yes,65131,149339,325655,4,11,68616,9,7,3,2,0,2,1,No
87,38,Single,Female,3,Technical Degree,2,33,Baccarat,3,32,4,6,2818,1369,3413,Yes,53466,159148,267330,2,16,47618,10,19,2,3,8,1,3,No
88,25,Single,Female,2,Technical Degree,5,41,Baccarat,1,66,2,8,1248,2358,5666,Yes,64535,162189,322675,1,3,53098,4,14,12,1,3,4,1,No
89,50,Single,Female,4,Technical Degree,1,35,Baccarat,3,46,2,10,2264,1265,4662,Yes,49396,152466,246980,4,10,78535,4,25,2,1,5,4,3,No
90,61,Single,Female,2,Technical Degree,4,31,Baccarat,4,56,3,7,2187,1385,3669,Yes,79520,151880,397600,0,19,76624,1,5,9,9,3,2,4,No
91,24,Single,Female,1,Technical Degree,5,28,Baccarat,1,75,6,1,2474,1654,3391,Yes,41836,151594,167344,6,14,44398,3,4,0,3,7,3,3,No
92,23,Single,Female,2,Technical Degree,4,50,Baccarat,1,85,10,5,2833,1255,4046,Yes,52541,149827,262705,6,20,82415,3,18,12,5,9,2,2,No
93,51,Single,Female,2,Technical Degree,1,46,Baccarat,3,28,6,7,2830,1217,3124,Yes,56598,143831,282990,6,12,58720,8,22,8,8,1,4,2,No
94,62,Single,Female,2,Technical Degree,3,21,Baccarat,3,91,4,10,1263,2283,5500,Yes,72175,162715,360875,6,6,74978,5,7,3,6,4,2,1,No
95,33,Single,Female,4,Technical Degree,3,25,Baccarat,1,60,3,3,1636,2190,5669,Yes,50889,151504,254445,7,3,47480,9,22,7,1,8,1,2,No
96,57,Single,Female,2,Technical Degree,1,12,Baccarat,4,73,6,2,1850,2925,4480,Yes,53668,148411,268340,1,9,68652,1,18,5,0,3,4,2,No
97,58,Single,Female,2,Technical Degree,2,7,Baccarat,1,48,3,9,2179,2219,5938,Yes,73099,143696,219297,6,11,61937,7,3,1,3,2,1,4,No
98,29,Single,Female,3,Technical Degree,3,28,Baccarat,3,81,2,9,2608,2148,4292,Yes,72311,155780,361555,6,0,29150,3,25,4,6,4,2,3,No
99,46,Single,Female,4,Technical Degree,5,21,Baccarat,3,31,2,7,2749,2357,3443,Yes,64489,139270,322445,3,10,35206,8,7,0,5,7,3,4,No
100,33,Single,Female,4,Technical Degree,5,26,Baccarat,1,41,2,9,2313,2777,3709,Yes,53135,138528,265675,0,1,32696,1,11,6,3,10,3,1,No
101,46,Single,Female,4,Technical Degree,1,19,Baccarat,2,39,3,4,1946,1540,3332,Yes,66635,169143,333175,0,3,35997,5,9,9,2,5,4,1,No
102,26,Single,Female,1,Technical Degree,1,35,Baccarat,3,57,8,0,2761,1346,5942,Yes,43523,156413,217615,7,6,60397,5,17,4,7,9,2,2,No
103,61,Single,Female,2,Technical Degree,5,49,Baccarat,3,26,4,10,1604,1864,5442,Yes,68015,162472,340075,3,2,78980,2,7,0,1,3,1,1,No
104,59,Single,Female,1,Technical Degree,3,2,Baccarat,4,86,1,10,1428,1769,3219,Yes,68284,167340,341420,2,7,67305,2,20,0,8,9,1,1,No
105,52,Single,Female,1,Technical Degree,5,41,Baccarat,1,67,3,7,1961,1367,5982,Yes,53270,143018,266350,2,26,61286,6,7,0,1,6,3,2,No
106,30,Single,Female,3,Technical Degree,2,3,Baccarat,4,40,7,2,1267,1948,3791,Yes,62443,164213,249772,7,21,50180,7,4,4,10,9,4,4,No
107,47,Single,Female,1,Technical Degree,3,4,Baccarat,2,56,9,6,1858,2471,5900,Yes,52606,164142,263030,7,1,31657,7,5,5,7,10,2,4,No
108,42,Single,Female,2,Technical Degree,3,20,Baccarat,3,30,5,8,2873,2471,5640,Yes,66239,151109,331195,0,9,34967,9,10,8,7,7,2,3,No
109,50,Single,Female,1,Technical Degree,3,21,Baccarat,2,87,5,3,1215,1008,4641,Yes,70393,163728,351965,0,19,42714,9,26,3,0,8,1,2,No
110,43,Single,Female,4,Technical Degree,3,5,Baccarat,3,80,7,0,1870,2873,4742,Yes,44276,144712,221380,7,8,73907,8,7,5,1,4,2,3,No
111,53,Single,Female,1,Technical Degree,2,15,Baccarat,3,70,8,5,1799,1476,4944,Yes,57660,153621,288300,3,9,78980,1,8,10,8,0,4,2,No
112,44,Single,Female,3,Technical Degree,1,50,Baccarat,3,95,6,4,1077,1840,5341,Yes,56365,159965,281825,4,10,36605,10,25,13,5,9,4,3,No
113,25,Single,Female,1,Technical Degree,4,11,Baccarat,1,97,1,4,1671,2030,4869,Yes,59921,138139,299605,5,13,77292,3,16,10,1,1,2,3,No
114,25,Single,Female,4,Technical Degree,4,22,Baccarat,3,85,9,4,1484,2473,3630,Yes,63652,147272,318260,6,6,51284,7,12,7,0,8,4,3,No
115,39,Single,Female,3,Technical Degree,3,22,Baccarat,3,41,10,7,1004,1797,4538,Yes,57633,142927,288165,2,3,38793,9,5,15,3,0,4,3,No
116,50,Single,Female,1,Technical Degree,3,24,Baccarat,1,67,1,5,1502,1298,4604,Yes,72701,167483,363505,2,10,80537,6,19,4,7,4,2,1,No
117,54,Single,Female,4,Technical Degree,5,42,Baccarat,2,59,3,7,2235,2857,4751,Yes,46749,150683,233745,4,11,70100,7,12,11,10,9,4,4,No
118,39,Single,Female,1,Technical Degree,4,42,Baccarat,3,73,10,1,1010,1418,5817,Yes,74219,153593,371095,6,21,79540,1,8,12,8,4,2,4,No
119,34,Single,Female,2,Technical Degree,3,13,Baccarat,4,97,8,9,2321,2883,5145,Yes,70091,170691,350455,3,3,80359,1,24,6,3,2,2,3,No
120,52,Single,Female,3,Technical Degree,4,5,Baccarat,3,88,4,4,2029,2794,5065,Yes,76369,138755,381845,7,23,67904,9,8,8,6,0,4,4,No
121,36,Single,Female,1,Technical Degree,5,6,Baccarat,2,95,5,3,2995,2820,5386,Yes,74840,148675,374200,4,2,73034,5,13,14,10,9,3,1,No
122,32,Single,Female,1,Technical Degree,1,3,Baccarat,1,79,7,4,2059,2355,5852,Yes,51456,158983,257280,3,0,36119,2,5,1,6,1,2,2,No
123,34,Single,Female,4,Technical Degree,4,24,Baccarat,4,50,9,5,2889,2735,3664,Yes,61763,151478,308815,7,15,68528,3,12,1,9,2,4,3,No
124,47,Single,Female,1,Technical Degree,1,18,Baccarat,2,31,7,10,1540,2971,6214,Yes,61444,139563,307220,4,17,82894,10,14,3,7,4,4,2,No
125,50,Single,Female,3,Technical Degree,5,15,Baccarat,1,82,5,5,1634,2139,5547,Yes,43959,163173,219795,6,12,48143,8,6,10,4,1,1,3,No
126,51,Single,Female,3,Technical Degree,1,25,Baccarat,2,65,4,8,1416,1310,5826,Yes,78511,157022,157022,1,0,56317,1,2,9,8,3,4,2,No
127,64,Single,Female,3,Technical Degree,5,33,Baccarat,2,90,5,9,2726,1499,3928,Yes,51346,146653,256730,5,15,33443,9,20,8,1,4,2,1,No
128,60,Single,Female,3,Technical Degree,2,9,Baccarat,3,97,2,3,2821,1769,4572,Yes,48894,157887,244470,0,5,72972,5,11,3,4,0,1,1,No
129,62,Single,Female,3,Technical Degree,5,27,Baccarat,1,79,4,5,1811,1484,4281,Yes,51195,161319,255975,4,14,44767,1,10,1,3,2,1,3,No
130,32,Single,Female,1,Technical Degree,5,37,Baccarat,2,99,9,2,1504,1251,4383,Yes,75283,144669,376415,7,0,27844,6,26,6,3,1,3,1,No
131,24,Single,Female,1,Technical Degree,2,14,Baccarat,3,60,5,9,2185,1560,3484,Yes,64008,143866,320040,5,13,75254,2,7,3,5,9,2,2,No
132,54,Single,Female,4,Technical Degree,1,27,Baccarat,1,96,5,3,2951,1356,4815,Yes,76721,76721,76721,2,15,80301,9,1,6,7,1,1,2,No
133,41,Single,Female,1,Technical Degree,5,41,Baccarat,3,25,9,8,2057,1198,4048,Yes,55061,167110,275305,2,17,35159,6,25,0,9,8,4,3,No
134,25,Single,Female,2,Technical Degree,3,43,Baccarat,3,90,4,6,2905,2081,4273,Yes,67817,148918,339085,4,14,53249,10,21,8,2,10,1,4,No
135,57,Single,Female,1,Technical Degree,1,35,Baccarat,3,99,2,2,2035,2051,4856,Yes,51893,142727,259465,4,11,42224,9,20,14,4,2,2,4,No
136,33,Single,Female,4,Technical Degree,4,39,Baccarat,4,27,1,1,1402,1302,5281,Yes,67423,160174,337115,7,20,40141,10,25,8,3,5,3,1,No
137,42,Single,Female,3,Technical Degree,5,43,Baccarat,2,62,7,3,2455,1296,4457,Yes,62907,147534,314535,0,13,34366,10,11,5,3,4,1,2,No
138,64,Single,Female,4,Technical Degree,3,28,Baccarat,4,61,4,4,1393,2175,6199,Yes,44673,163337,223365,4,9,77256,6,19,0,6,1,4,2,No
139,56,Single,Female,4,Technical Degree,3,15,Baccarat,4,46,8,9,1100,2534,3863,Yes,48734,140263,243670,2,15,29854,10,21,9,4,9,1,1,No
140,44,Single,Female,4,Technical Degree,1,4,Baccarat,1,83,5,1,1564,1861,4012,Yes,65686,165212,262744,2,14,52167,1,4,2,1,7,4,2,No
141,49,Single,Female,4,Technical Degree,4,26,Baccarat,4,45,9,10,1012,2559,4101,Yes,45061,163725,225305,4,19,30949,1,12,6,7,3,3,2,No
142,56,Single,Female,1,Technical Degree,2,49,Baccarat,1,50,10,0,1400,2262,3139,Yes,60126,152696,300630,4,3,69206,5,23,1,2,4,4,1,No
143,60,Single,Female,2,Technical Degree,3,24,Baccarat,3,63,9,7,2189,2970,3281,Yes,73207,152776,366035,0,11,44805,4,9,1,7,6,1,1,No
144,41,Single,Female,4,Technical Degree,4,9,Baccarat,3,25,4,10,1868,2559,3645,Yes,69343,69343,69343,7,7,74873,1,1,0,8,5,1,3,No
145,34,Single,Female,4,Technical Degree,1,10,Baccarat,2,58,8,9,1244,2406,5633,Yes,42801,149182,214005,4,18,65920,10,15,0,4,6,2,1,No
146,57,Single,Female,4,Technical Degree,2,4,Baccarat,4,80,3,0,1206,2817,5270,Yes,48541,143414,242705,0,2,48136,2,18,0,2,4,2,1,No
147,42,Single,Female,2,Technical Degree,1,40,Baccarat,2,88,7,4,2591,1140,5292,Yes,79579,150219,318316,5,3,66398,6,4,0,7,8,1,1,No
148,56,Single,Female,3,Technical Degree,3,33,Baccarat,3,73,2,6,1684,1671,3559,Yes,52075,163097,260375,5,14,41276,1,13,0,7,4,4,3,No
149,54,Single,Female,4,Technical Degree,1,2,Baccarat,3,49,6,5,1299,1945,3266,Yes,78654,140956,393270,4,1,40995,2,18,4,2,0,4,1,No
150,61,Single,Female,3,Technical Degree,2,3,Baccarat,3,54,5,1,2167,1218,4150,Yes,51971,164451,259855,2,6,60707,2,18,9,3,1,4,1,No
151,65,Single,Female,2,Technical Degree,3,5,Baccarat,3,34,6,0,1676,2531,3457,Yes,61797,166996,308985,5,14,51077,5,11,11,10,10,4,3,No
152,44,Single,Female,3,Technical Degree,1,31,Baccarat,1,63,5,4,2743,1749,3163,Yes,73934,163653,369670,1,2,76342,9,18,1,3,4,1,2,No
153,53,Single,Female,1,Technical Degree,4,33,Baccarat,2,81,6,1,1580,2499,5380,Yes,52201,166166,261005,4,23,38488,1,12,4,1,1,3,1,No
154,58,Single,Female,1,Technical Degree,5,45,Baccarat,3,39,5,9,2328,2515,5233,Yes,57586,170116,287930,1,6,72211,3,12,8,5,2,2,3,No
155,24,Single,Female,2,Technical Degree,4,14,Baccarat,3,75,8,6,1882,2190,5709,Yes,74072,148838,370360,7,19,82805,5,16,5,2,10,4,1,No
156,34,Single,Female,4,Technical Degree,1,7,Baccarat,2,63,7,8,1096,1944,3284,Yes,51693,168652,258465,6,18,48018,3,7,15,9,8,3,1,No
157,54,Single,Female,2,Technical Degree,2,42,Baccarat,3,83,4,4,2034,2171,4183,Yes,69740,138434,348700,2,19,47744,8,26,4,1,3,4,1,No
158,40,Single,Female,3,Technical Degree,4,45,Baccarat,2,98,3,3,1520,1374,4556,Yes,42360,138335,211800,0,19,39609,9,17,10,4,10,2,3,No
159,62,Single,Female,4,Technical Degree,5,20,Baccarat,4,81,6,1,2444,1526,4158,Yes,79054,157486,395270,6,6,69951,10,12,1,8,6,1,2,No
160,47,Single,Female,1,Technical Degree,2,14,Baccarat,2,96,6,6,2811,2779,5149,Yes,67515,155825,337575,6,19,65294,4,15,2,0,6,3,3,No
161,41,Single,Female,2,Technical Degree,4,50,Baccarat,2,74,1,7,2845,2835,4256,Yes,45470,90940,90940,0,10,33168,9,2,11,0,0,4,2,No
162,34,Single,Female,3,Technical Degree,5,33,Baccarat,3,37,7,3,2747,1657,3307,Yes,64807,150903,324035,0,22,63676,1,11,2,10,5,4,2,No
163,56,Single,Female,1,Technical Degree,4,25,Baccarat,1,55,3,10,2785,1811,5002,Yes,65132,159107,325660,1,15,38894,7,11,8,6,7,4,2,No
164,28,Single,Female,1,Technical Degree,2,38,Baccarat,2,76,9,9,2420,2726,5179,Yes,59161,59161,59161,2,14,47308,7,1,13,5,5,1,3,No
165,32,Single,Female,4,Technical Degree,4,45,Baccarat,3,47,6,3,1732,2966,5631,Yes,47844,139317,239220,4,18,71173,7,14,10,1,0,3,1,No
166,28,Single,Female,3,Technical Degree,1,39,Baccarat,4,75,4,1,2705,1961,3840,Yes,51711,158604,258555,0,22,73916,1,21,0,2,8,2,4,No
