# OF EMPLOYEES,Age,MaritalStatus,Gender,Education,EducationField,RelationshipSatisfaction,DistanceFromHome,Games,Performance Ranking,Attendance (%),Errors per shift,TrainingTimesLastYear,Hours Worked TTM,Hours Worked  3 YR,Hours Worked 5 YR,OverTime,TTM Revenue,3 YR Revenue,5 YR Revenue,NumCompaniesWorked,TotalWorkingYears,Annual Salary,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,Attrition,Risk,Profit,riskNorm,profitNorm,R-Score
28,33,Divorced,Male,1,Marketing,1,37,Black Jack,3,66,3,5,1567,1609,5057,No,83614,241928,418070,2,15,35081,1,14,3,1,3,3,4,No,0.321444573,48533,0.321719372,0.396553556,0.127578961
29,35,Married,Female,3,Life Sciences,2,9,Black Jack,2,69,4,7,1754,2023,4072,No,106319,315084,531595,6,12,32839,4,23,8,2,8,4,3,No,0.325722289,73480,0.326000745,0.600390564,0.195727771
30,27,Single,Female,4,Marketing,3,8,Baccarat,2,63,6,2,2113,1209,5381,Yes,108546,268445,542730,1,20,78631,5,14,9,6,4,2,4,Yes,0.56338213,29915,0.563863759,0.244429555,0.137824968
31,47,Married,Female,2,Medical,1,20,Baccarat,3,80,3,5,1486,2783,5940,No,101987,101987,101987,0,24,83762,9,1,10,2,9,2,4,No,0.536830332,18225,0.537289262,0.148912875,0.080009289
32,52,Married,Male,4,Marketing,1,14,Baccarat,4,95,3,9,1503,1527,5936,Yes,134471,281060,672355,5,6,74560,10,6,12,4,7,1,1,No,0.311224318,59911,0.31149038,0.489520946,0.152481065
33,31,Divorced,Female,1,Technical Degree,3,20,Baccarat,4,93,1,10,2612,2738,4782,Yes,89324,247392,446620,3,11,80740,7,8,13,9,10,3,3,No,0.497547349,8584,0.497972696,0.070138168,0.034926893
34,64,Married,Male,4,Technical Degree,1,9,Baccarat,4,41,4,2,2908,2686,4342,No,129907,322154,649535,6,17,82592,2,23,8,6,8,4,3,Yes,0.299856565,47315,0.300112909,0.386601518,0.116024106
35,49,Divorced,Male,3,Life Sciences,4,11,Baccarat,4,40,8,9,1325,1731,3783,Yes,149956,234254,749780,0,17,42620,4,20,10,10,0,4,1,Yes,0.550217914,107336,0.550688288,0.877021252,0.482965332
36,40,Married,Male,3,Medical,5,42,Baccarat,2,33,6,8,2040,1175,5956,No,139301,313130,696505,5,13,58157,8,23,10,5,10,4,2,No,0.396866638,81144,0.397205915,0.663011594,0.263352127
37,31,Married,Female,4,Medical,1,35,Baccarat,4,57,8,3,2365,1255,3124,No,118705,250636,593525,6,10,78672,7,17,13,6,5,4,1,No,0.768260085,40033,0.768916861,0.327101735,0.251514039
38,36,Married,Male,2,Life Sciences,1,14,Baccarat,4,65,1,0,1820,2982,4968,No,134126,209646,670630,7,25,67165,3,10,15,0,3,1,2,No,0.203220954,66961,0.203394686,0.547125103,0.111282338
39,29,Married,Male,2,Technical Degree,2,36,Baccarat,3,81,3,1,1461,2461,4746,Yes,123672,262464,618360,6,15,28488,6,25,9,0,0,3,3,No,0.163942567,95184,0.16408272,0.777729661,0.127611998
40,23,Married,Female,4,Life Sciences,3,49,Baccarat,4,95,6,2,2257,2698,6074,No,106517,106517,106517,1,21,56517,4,1,15,4,3,4,1,No,0.458498007,50000,0.458889971,0.408540123,0.187474965
41,42,Single,Female,3,Medical,5,6,Baccarat,1,25,7,6,1504,1141,3405,Yes,112099,223922,560495,4,8,47357,8,17,14,7,6,4,4,Yes,0.947902493,64742,0.948712843,0.528994093,0.50186349
42,41,Single,Male,1,Life Sciences,3,21,Baccarat,3,28,6,4,2211,1525,3807,No,123722,242616,618610,4,22,79067,5,9,0,6,7,2,4,Yes,0.009258856,44655,0.009266771,0.364867184,0.003381141
43,56,Single,Female,3,Marketing,5,31,Baccarat,4,100,1,0,2579,1252,6154,No,101398,348284,506990,2,24,47858,2,17,13,0,9,1,4,Yes,0.171319433,53540,0.171465892,0.437464763,0.075010286
44,57,Single,Male,4,Other,4,17,Baccarat,4,88,3,5,1795,1319,5240,Yes,89922,284924,269766,2,19,26243,2,3,1,5,0,3,2,Yes,0.091211474,63679,0.09128945,0.52030853,0.047498679
45,28,Single,Male,1,Marketing,3,38,Baccarat,4,72,1,0,1210,1387,6193,No,122344,122344,122344,3,24,35302,9,1,1,4,2,2,4,No,0.642560855,87042,0.643110172,0.711202987,0.457381876
46,65,Married,Female,1,Life Sciences,1,48,Baccarat,4,55,8,5,1237,2402,3849,No,98725,197450,197450,7,24,70785,8,2,1,5,9,1,4,No,0.446293583,27940,0.446675114,0.228292221,0.101972454
47,40,Married,Female,1,Marketing,3,44,Baccarat,4,99,8,7,1516,1979,5698,No,148737,347801,743685,0,2,57293,4,21,10,5,1,1,2,No,0.003015717,91444,0.003018295,0.74717086,0.002255182
48,60,Single,Male,4,Medical,4,18,Baccarat,4,44,5,4,1478,2601,6216,Yes,133866,207247,669330,2,25,27291,10,13,8,1,4,3,4,No,0.94707537,106575,0.947885013,0.870803272,0.825421371
49,61,Single,Female,4,Life Sciences,1,22,Baccarat,3,93,8,9,2131,2447,4112,No,94334,347508,471670,1,6,41581,8,15,13,5,3,3,2,No,0.976711291,52753,0.977546269,0.431034342,0.421356013
50,64,Married,Female,3,Medical,4,7,Baccarat,2,55,4,8,2432,1806,3268,No,146848,333737,734240,4,20,49102,2,25,15,1,1,1,3,No,0.581552694,97746,0.582049856,0.798663257,0.464861834
51,46,Married,Female,3,Life Sciences,2,38,Baccarat,3,30,7,2,1943,1791,5827,No,144809,285785,724045,6,17,82982,7,12,14,10,10,2,3,No,0.470674938,61827,0.471077313,0.505176203,0.237977048
52,45,Divorced,Male,4,Marketing,2,40,Baccarat,4,39,10,9,1582,2179,3150,No,81326,312344,406630,3,16,48020,2,10,4,8,7,1,4,No,0.912345241,33306,0.913125194,0.272136747,0.24849492
53,29,Divorced,Female,1,Life Sciences,4,44,Baccarat,2,89,1,5,1826,2411,5146,No,97678,312547,488390,6,16,46815,5,18,14,3,6,4,4,No,0.780027388,50863,0.780694225,0.415591525,0.324449904
54,59,Married,Male,3,Marketing,4,19,Baccarat,2,63,2,7,2407,2068,4717,No,130294,236493,651470,4,18,75841,1,14,6,8,0,4,4,Yes,0.464784418,54453,0.465181756,0.444924706,0.206970856
55,31,Single,Female,4,Technical Degree,1,26,Baccarat,3,82,8,3,1365,1670,4930,Yes,98406,234423,492030,0,17,79350,4,8,12,9,10,4,4,Yes,0.596621885,19056,0.59713193,0.155702812,0.09297512
56,51,Single,Male,4,Marketing,2,13,Baccarat,2,62,2,5,1106,1999,4931,Yes,148852,227663,744260,7,26,45146,6,16,13,2,6,3,4,Yes,0.906426355,103706,0.907201248,0.847361239,0.768727174
57,39,Single,Female,4,Life Sciences,2,8,Baccarat,2,27,7,1,2207,1614,4382,No,111619,319691,558095,2,2,37847,10,26,14,9,5,2,2,Yes,0.108040685,73772,0.108133048,0.602776439,0.065180053
58,59,Married,Female,3,Technical Degree,2,35,Baccarat,1,69,8,8,2713,1551,5278,No,80286,298523,401430,1,14,35586,7,23,1,6,0,4,2,No,0.003836375,44700,0.003839654,0.36523487,0.001402376
59,63,Single,Male,3,Marketing,5,32,Baccarat,2,54,7,10,1026,2837,5926,No,100809,346740,504045,5,21,32172,6,5,14,0,5,2,3,No,0.738691762,68637,0.73932326,0.560819368,0.414626804
60,30,Single,Male,2,Life Sciences,3,35,Baccarat,3,69,4,0,1544,1906,5099,No,86397,202786,431985,3,3,76970,3,6,13,5,2,4,4,No,0.375683261,9427,0.376004428,0.077026155,0.028962175
61,58,Single,Male,1,Marketing,4,47,Baccarat,1,35,6,4,2967,2084,6203,No,138994,305811,694970,0,13,83631,3,16,15,3,6,1,4,Yes,0.560342878,55363,0.560821909,0.452360136,0.253693475
62,47,Married,Male,2,Technical Degree,2,33,Baccarat,3,65,10,2,1184,2239,5179,No,117798,271147,588990,7,24,59064,4,23,15,0,7,4,2,No,0.323032976,58734,0.323309133,0.479903911,0.155157317
63,64,Single,Male,4,Life Sciences,5,29,Baccarat,4,59,8,9,1563,2378,3469,No,87882,201511,439410,0,3,81074,5,15,10,3,1,3,3,No,0.909197194,6808,0.909974455,0.055626823,0.050618988
64,25,Single,Male,4,Medical,5,14,Baccarat,1,28,4,4,2726,1761,4771,No,99542,301748,497710,6,3,57819,8,12,14,2,3,2,1,No,0.708883449,41723,0.709489465,0.340910391,0.241872331
65,37,Divorced,Male,2,Marketing,1,11,Baccarat,2,64,9,5,2974,2994,3158,No,145308,343106,581232,1,2,63823,6,4,4,7,9,4,4,Yes,0.393853409,81485,0.39419011,0.665797838,0.262450923
66,47,Single,Female,3,Medical,5,4,Baccarat,3,39,7,5,1827,2575,3870,No,149735,244827,748675,4,12,51040,1,19,4,3,5,2,2,No,0.9073582,98695,0.908133889,0.806417348,0.732334923
67,35,Divorced,Male,3,Life Sciences,5,20,Baccarat,1,44,8,7,1736,2873,5550,No,114006,218671,570030,4,0,75418,10,22,8,3,8,2,3,No,0.599446453,38588,0.599958913,0.315294925,0.189164001
68,25,Single,Male,1,Medical,5,7,Baccarat,2,40,1,2,2973,2805,4173,No,129619,285397,648095,2,13,35372,1,17,0,5,0,4,4,No,0.819311911,94247,0.820012331,0.770073619,0.631469863
69,61,Single,Male,4,Life Sciences,3,4,Baccarat,2,37,8,4,2089,1651,4533,No,106221,323863,531105,4,7,77371,10,12,0,2,2,4,2,No,0.586832571,28850,0.587334247,0.235727651,0.138450922
70,47,Married,Male,2,Technical Degree,1,36,Baccarat,3,85,3,9,2437,1934,3373,No,97491,239495,487455,3,7,32144,9,7,9,2,3,4,1,Yes,0.05651585,65347,0.056564164,0.533937428,0.030201724
71,28,Married,Female,3,Medical,1,44,Baccarat,1,39,7,7,1555,2720,4700,No,99437,270162,497185,7,1,71959,6,26,8,7,4,1,4,No,0.563656131,27478,0.564137994,0.22451731,0.126658745
72,38,Divorced,Male,2,Technical Degree,5,31,Baccarat,4,60,3,1,2786,2389,3592,No,86849,219348,434245,2,19,83781,10,26,7,10,6,3,2,No,0.617276114,3068,0.617803816,0.025068022,0.01548712
73,58,Single,Male,3,Technical Degree,4,27,Baccarat,2,100,8,3,1076,2649,5500,No,121871,258097,609355,1,0,72464,4,19,0,5,4,1,4,Yes,0.167274694,49407,0.167417695,0.403694837,0.067585659
74,47,Single,Female,4,Other,2,27,Baccarat,1,83,5,4,1254,1866,3150,No,115025,318067,575125,0,15,49453,1,13,3,9,1,3,3,No,0.162877275,65572,0.163016517,0.535775859,0.087340314
75,27,Married,Male,2,Medical,2,41,Baccarat,2,64,6,2,1526,2358,4446,No,136056,336116,680280,7,14,51655,2,23,14,6,6,1,1,No,0.618566278,84401,0.619095083,0.689623898,0.426942764
76,27,Single,Female,3,Life Sciences,3,24,Baccarat,4,45,9,4,1246,1306,5652,No,125714,223588,628570,6,4,67738,9,7,2,1,6,1,3,Yes,0.711889062,57976,0.712497647,0.473710443,0.337517576
77,41,Single,Male,3,Technical Degree,1,49,Baccarat,1,74,9,8,2139,1685,3742,No,100890,214813,504450,1,4,83099,3,13,5,5,1,1,1,No,0.636614967,17791,0.637159201,0.145366746,0.09262176
78,28,Single,Male,1,Technical Degree,4,39,Baccarat,3,40,3,6,2189,2860,6178,No,126385,210671,631925,4,24,61345,4,9,1,5,3,2,4,No,0.144504565,65040,0.1446281,0.531428992,0.076859565
79,60,Single,Female,2,Medical,1,50,Baccarat,3,57,6,6,1114,2389,5655,No,106225,292145,531125,5,7,43595,3,25,13,9,3,4,1,Yes,0.731486214,62630,0.732111553,0.511737358,0.374648832
80,63,Married,Male,1,Medical,2,19,Baccarat,1,97,2,5,1778,2973,4289,No,128210,202443,641050,6,6,53546,10,21,2,0,1,2,2,No,0.268420697,74664,0.268650167,0.610064794,0.163894009
81,52,Single,Male,2,Medical,3,9,Baccarat,4,30,9,9,2072,1620,4611,No,131053,207192,655265,6,23,63047,9,11,13,5,0,3,1,Yes,0.809445782,68006,0.810137767,0.555663592,0.450164061
82,50,Single,Female,3,Technical Degree,5,12,Baccarat,2,85,10,9,1511,1703,3630,No,98073,196146,196146,5,19,44339,5,2,15,1,2,2,1,Yes,0.948682378,53734,0.949493395,0.439049899,0.416874979
83,41,Single,Female,1,Medical,5,10,Baccarat,1,25,6,0,1443,2233,5216,No,129245,334917,646225,1,14,36742,9,15,15,10,4,2,1,No,0.221253547,92503,0.221442694,0.755823739,0.167371645
84,47,Single,Female,1,Technical Degree,1,10,Baccarat,4,29,4,2,1763,2406,6228,Yes,121755,268258,608775,0,5,78056,2,23,5,5,5,3,3,No,0.896860242,43699,0.897626957,0.357055896,0.320502998
85,56,Single,Female,2,Technical Degree,3,31,Baccarat,4,72,3,4,1660,1678,3732,Yes,137077,218168,685385,1,6,56968,9,8,11,1,9,3,2,No,0.076079761,80109,0.076144801,0.654554814,0.049840946
86,54,Single,Female,3,Technical Degree,1,50,Baccarat,4,84,2,1,1321,1922,4090,Yes,80143,204722,400715,0,23,64155,3,13,0,8,8,4,1,No,0.374848849,15988,0.375169303,0.13063479,0.049010163
87,27,Single,Female,2,Technical Degree,2,23,Baccarat,3,63,8,6,1458,1811,3338,Yes,92090,347105,460450,6,22,51100,2,7,8,7,1,2,4,No,0.261203664,40990,0.261426964,0.334921193,0.087557431
88,45,Single,Female,2,Technical Degree,2,1,Baccarat,3,92,7,4,2169,2721,4498,Yes,86792,329546,433960,3,3,74610,9,11,7,5,10,2,1,No,0.21466888,12182,0.214852397,0.099536716,0.021385702
89,60,Single,Female,3,Technical Degree,5,32,Baccarat,1,63,9,5,2253,2123,4406,Yes,101328,228086,506640,2,1,30576,4,15,7,9,2,2,2,No,0.365508181,70752,0.36582065,0.578100615,0.211481143
90,36,Single,Female,4,Technical Degree,1,8,Baccarat,4,36,7,3,1042,1072,4592,Yes,91302,251667,456510,6,26,50007,1,19,9,10,6,2,1,No,0.053673664,41295,0.053719549,0.337413287,0.01812569
91,55,Single,Female,3,Technical Degree,1,9,Baccarat,4,46,8,2,1724,2096,5246,Yes,104167,214861,520835,3,22,69358,2,17,6,4,9,2,1,No,0.909570323,34809,0.910347904,0.284417463,0.258918841
92,38,Single,Female,4,Technical Degree,3,39,Baccarat,4,49,3,2,2266,2788,3778,Yes,126256,231678,631280,1,16,51750,3,8,11,2,6,2,4,No,0.675350583,74506,0.675927932,0.608773808,0.411487221
93,54,Single,Female,3,Technical Degree,1,50,Baccarat,1,99,6,9,2269,2646,4859,Yes,140931,293926,704655,0,4,64966,6,9,14,10,5,2,1,No,0.412696138,75965,0.413048947,0.620695008,0.25637742
94,42,Single,Female,1,Technical Degree,4,33,Baccarat,1,88,8,5,1532,2922,5055,Yes,127802,275167,639010,4,1,52497,1,19,5,10,2,4,3,No,0.531437687,75305,0.531892006,0.615302279,0.327274364
95,51,Single,Female,2,Technical Degree,4,38,Baccarat,2,92,6,9,1680,2154,5566,Yes,123793,279033,495172,2,13,30251,2,4,3,2,9,4,1,No,0.769562832,93542,0.770220722,0.764313203,0.588689867
96,65,Single,Female,1,Technical Degree,3,30,Baccarat,4,74,5,7,2431,1617,3453,Yes,81277,318553,406385,1,22,69406,5,14,10,6,3,2,1,No,0.462304236,11871,0.462699454,0.096995596,0.044879809
97,31,Single,Female,3,Technical Degree,4,32,Baccarat,1,96,6,7,1392,1449,3169,Yes,135696,295304,678480,5,25,40348,10,19,6,0,4,1,2,No,0.767209225,95348,0.767865103,0.779069672,0.598220415
98,46,Single,Female,2,Technical Degree,1,18,Baccarat,4,96,5,8,2034,1997,5639,Yes,89753,304350,448765,4,8,53571,2,16,8,2,4,1,2,No,0.136180254,36182,0.136296673,0.295635974,0.0402942
99,54,Single,Female,2,Technical Degree,4,12,Baccarat,2,89,3,3,2165,1800,4717,Yes,124874,348847,624370,2,14,51016,6,21,4,5,5,3,3,No,0.718242549,73858,0.718856566,0.603479128,0.433814933
100,44,Single,Female,3,Technical Degree,3,28,Baccarat,3,91,6,2,2485,2798,3487,Yes,146063,349096,730315,7,3,63647,4,6,9,5,6,3,3,No,0.919972793,82416,0.920759267,0.673404855,0.620043761
101,51,Single,Female,1,Technical Degree,1,6,Baccarat,2,98,2,2,1651,1517,3448,Yes,80793,292820,403965,4,11,71737,7,13,10,4,0,4,1,No,0.654999995,9056,0.655559947,0.073994787,0.048508019
102,61,Single,Female,3,Technical Degree,3,6,Baccarat,1,90,5,0,2884,2757,4080,Yes,111399,205146,334197,0,15,68495,7,3,8,0,8,1,4,No,0.586780194,42904,0.587281825,0.350560109,0.20587758
103,35,Single,Female,3,Technical Degree,4,36,Baccarat,1,30,5,0,2867,1078,5046,Yes,95675,349617,478375,2,11,67561,2,23,11,9,6,1,1,No,0.912081251,28114,0.912860979,0.22971394,0.209696892
104,62,Single,Female,1,Technical Degree,5,6,Baccarat,4,33,2,0,2852,1515,5666,Yes,134721,260208,673605,7,24,48990,5,9,4,0,4,4,3,No,0.445859211,85731,0.446240371,0.700491065,0.312587393
105,36,Single,Female,3,Technical Degree,3,48,Baccarat,2,25,4,3,1949,2147,5533,Yes,137448,295090,687240,5,1,77017,8,5,6,8,0,2,4,No,0.36127262,60431,0.361581467,0.493769763,0.178537996
106,40,Single,Female,1,Technical Degree,1,44,Baccarat,3,61,5,2,1736,2103,4728,Yes,100994,304899,504970,6,6,64914,8,18,6,9,3,2,1,No,0.198135443,36080,0.198304827,0.294802553,0.058460769
107,36,Single,Female,3,Technical Degree,3,42,Baccarat,4,84,10,4,1290,2282,4437,Yes,84350,287385,421750,6,25,78786,10,16,12,1,8,3,2,No,0.178191904,5564,0.178344238,0.045462345,0.008107947
108,35,Single,Female,4,Technical Degree,3,41,Baccarat,1,66,7,6,1835,1014,5569,Yes,133047,319275,665235,5,2,43779,3,26,6,5,0,4,3,No,0.73825139,89268,0.738882512,0.729391194,0.538934397
109,61,Single,Female,2,Technical Degree,2,18,Baccarat,1,97,5,6,1564,1098,4324,Yes,126979,265509,634895,4,14,41277,3,25,5,2,6,1,1,No,0.579440977,85702,0.579936334,0.700254112,0.406102803
110,30,Single,Female,3,Technical Degree,5,16,Baccarat,2,29,9,4,2200,1351,3933,Yes,143183,326362,715915,1,10,72523,10,19,1,5,5,1,2,No,0.325453902,70660,0.325732128,0.577348901,0.188061087
111,34,Single,Female,4,Technical Degree,4,15,Baccarat,2,42,7,2,2399,2897,3570,Yes,105437,297815,527185,7,11,82359,7,8,6,0,2,4,1,No,0.101610123,23078,0.101696989,0.188565779,0.019176572
112,56,Single,Female,4,Technical Degree,4,35,Baccarat,1,26,8,2,1130,2591,5163,Yes,85279,203651,426395,3,12,45442,7,16,8,9,2,3,2,No,0.115980556,39837,0.116079706,0.325500257,0.037783974
113,51,Single,Female,2,Technical Degree,3,33,Baccarat,2,98,8,0,1109,2739,3412,Yes,117512,347714,587560,1,19,71074,3,24,3,9,0,1,3,No,0.973885621,46438,0.974718184,0.379435724,0.3698429
114,27,Single,Female,2,Technical Degree,3,50,Baccarat,3,82,4,2,1550,1916,6094,Yes,128765,230405,643825,2,19,49556,4,23,8,4,4,2,3,No,0.492557282,79209,0.492978363,0.647201092,0.319056135
115,32,Single,Female,1,Technical Degree,2,25,Baccarat,3,86,5,2,1568,1564,5731,Yes,90713,281831,453565,5,12,53918,9,17,14,10,4,3,2,No,0.662300446,36795,0.662866639,0.300644676,0.199287326
116,28,Single,Female,1,Technical Degree,2,32,Baccarat,1,96,9,5,2335,1531,5304,Yes,97181,257045,485905,0,16,34677,10,9,7,5,1,2,1,No,0.343944872,62504,0.344238906,0.510707837,0.175805507
117,50,Single,Female,2,Technical Degree,2,38,Baccarat,2,52,6,2,2747,2218,5511,Yes,138590,266385,692950,4,18,27574,3,13,3,6,8,4,1,No,0.110476951,111016,0.110571396,0.907089805,0.100298186
118,47,Single,Female,3,Technical Degree,2,42,Baccarat,3,38,6,2,1870,2118,5350,Yes,88681,310004,443405,2,4,63668,5,25,5,3,2,3,2,No,0.302420621,25013,0.302679157,0.204376282,0.061860441
119,48,Single,Female,1,Technical Degree,1,33,Baccarat,3,94,2,7,1827,1008,3333,Yes,127678,257126,638390,3,16,70301,7,15,5,10,3,2,4,No,0.826146184,57377,0.826852446,0.468816132,0.387641766
120,58,Single,Female,1,Technical Degree,5,40,Baccarat,3,70,1,3,1605,1010,3648,Yes,122705,320761,613525,6,7,65404,4,21,9,0,2,3,4,No,0.760899054,57301,0.761549537,0.468195151,0.356553801
121,65,Single,Female,4,Technical Degree,3,37,Baccarat,3,26,3,0,1808,1113,3589,Yes,94901,234966,474505,0,11,82188,4,19,12,0,3,4,3,No,0.933811698,12713,0.934610003,0.103875412,0.097082999
122,52,Single,Female,1,Technical Degree,3,30,Baccarat,4,89,3,9,2491,1447,4169,Yes,128894,260737,386682,1,14,48533,10,3,11,0,9,4,1,No,0.61362757,80361,0.614152153,0.656613856,0.403260813
123,55,Single,Female,2,Technical Degree,2,34,Baccarat,4,70,10,5,2134,2459,5518,Yes,105290,202447,526450,2,13,57504,3,9,4,4,9,4,2,No,0.08435944,47786,0.084431558,0.390449966,0.032966299
124,31,Single,Female,3,Technical Degree,5,26,Baccarat,3,81,5,3,1485,2664,3869,Yes,101284,236918,506420,4,24,60020,7,22,10,7,9,4,1,No,0.385060706,41264,0.38538989,0.337159992,0.129938052
