ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Sales,risk,profit,riskNorm,profitNorm,R-score
1070,28,No,Travel_Rarely,Sales,1,3,Life Sciences,1,Male,2,1,Sales Representative,3,Divorced,1563,1,No,14,3,4,1,1,2,1,1,0,0,0,275357,0.42874,14.681,0.4371,0.70306,0.30731
464,26,Yes,Travel_Rarely,Sales,24,3,Technical Degree,3,Male,1,1,Sales Representative,4,Single,2340,1,Yes,18,3,2,0,1,3,1,1,0,0,0,178996,0.96386,6.3745,0.98266,0.30527,0.29998
865,41,Yes,Non-Travel,Sales,5,2,Life Sciences,1,Male,2,1,Sales Representative,1,Divorced,2107,6,No,17,3,1,1,5,2,1,1,0,0,0,228274,0.67038,9.0284,0.68346,0.43236,0.2955
893,19,Yes,Non-Travel,Sales,10,3,Medical,1,Female,2,1,Sales Representative,2,Single,1859,1,Yes,25,4,2,0,1,2,4,1,1,0,0,145874,0.91751,6.5391,0.9354,0.31315,0.29292
3,37,Yes,Travel_Rarely,Sales,2,2,Other,4,Male,2,1,Sales Representative,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,168558,0.85934,6.7208,0.8761,0.32185,0.28198
689,19,Yes,Travel_Rarely,Sales,21,3,Other,4,Male,2,1,Sales Representative,2,Single,2121,1,Yes,13,3,2,0,1,3,4,1,0,0,0,150367,0.96496,5.9079,0.98377,0.28292,0.27833
1272,21,Yes,Travel_Rarely,Sales,7,1,Marketing,2,Male,3,1,Sales Representative,2,Single,2679,1,No,13,3,2,0,1,3,3,1,0,1,0,271177,0.67321,8.4353,0.68634,0.40396,0.27725
777,20,Yes,Travel_Frequently,Sales,9,3,Marketing,4,Female,3,1,Sales Representative,4,Single,2323,1,Yes,14,3,2,0,2,3,3,2,2,0,2,294931,0.5348,10.5801,0.54522,0.50667,0.27625
515,33,Yes,Travel_Frequently,Sales,3,3,Life Sciences,1,Male,3,1,Sales Representative,1,Single,3348,1,Yes,11,3,1,0,10,3,3,10,8,9,7,296713,0.74879,7.3853,0.76339,0.35368,0.26999
1439,23,Yes,Travel_Frequently,Sales,9,3,Marketing,4,Male,3,1,Sales Representative,1,Married,1790,1,No,19,3,1,1,1,3,2,1,0,1,0,184867,0.62485,8.6065,0.63703,0.41216,0.26256
358,21,Yes,Travel_Frequently,Sales,1,1,Technical Degree,1,Female,2,1,Sales Representative,2,Single,2174,1,Yes,11,3,3,0,3,3,3,3,2,1,2,158404,0.87294,6.0719,0.88996,0.29078,0.25878
657,32,Yes,Travel_Rarely,Sales,25,4,Life Sciences,1,Male,3,1,Sales Representative,4,Single,2795,1,Yes,24,4,3,0,1,2,1,1,0,0,1,184549,0.95623,5.5024,0.97487,0.2635,0.25688
710,31,Yes,Non-Travel,Sales,9,2,Medical,3,Male,2,1,Sales Representative,1,Single,2321,0,Yes,22,4,1,0,4,0,3,3,2,1,2,175555,0.82222,6.3031,0.83825,0.30185,0.25303
103,20,Yes,Travel_Frequently,Sales,6,3,Life Sciences,4,Female,2,1,Sales Representative,4,Single,2926,1,Yes,18,3,2,0,1,5,3,1,0,1,0,237195,0.76502,6.7554,0.77994,0.32351,0.25232
183,41,Yes,Travel_Rarely,Sales,20,2,Marketing,2,Female,3,1,Sales Representative,2,Single,3140,1,Yes,22,4,4,0,4,5,2,4,3,0,2,238603,0.80929,6.3324,0.82507,0.30325,0.2502
1206,32,Yes,Travel_Rarely,Sales,2,4,Life Sciences,4,Male,3,1,Sales Representative,2,Single,1393,1,No,12,3,1,0,1,2,3,1,0,0,0,145034,0.58759,8.6764,0.59905,0.4155,0.24891
690,20,Yes,Travel_Rarely,Sales,4,3,Technical Degree,1,Male,3,1,Sales Representative,1,Single,2973,1,No,19,3,2,0,1,2,3,1,0,0,0,204177,0.87744,5.7231,0.89455,0.27407,0.24517
998,27,Yes,Travel_Rarely,Sales,17,4,Life Sciences,4,Female,3,1,Sales Representative,3,Single,2394,1,Yes,13,3,4,0,8,2,3,8,2,7,7,265929,0.53863,9.2568,0.54914,0.4433,0.24343
35,24,Yes,Travel_Rarely,Sales,1,3,Medical,2,Male,3,1,Sales Representative,4,Married,2293,2,Yes,16,3,1,1,6,2,2,2,0,2,0,165081,0.82228,5.9995,0.83832,0.28731,0.24086
701,58,Yes,Travel_Rarely,Sales,2,3,Technical Degree,4,Male,3,1,Sales Representative,3,Single,2479,4,No,24,4,1,0,7,4,3,1,0,0,0,242950,0.60388,8.1669,0.61566,0.39111,0.24079
798,26,Yes,Travel_Rarely,Sales,21,3,Medical,1,Male,3,1,Sales Representative,3,Divorced,2377,1,No,20,4,3,1,1,0,2,1,1,0,0,165100,0.81573,5.7881,0.83164,0.27719,0.23052
1298,26,Yes,Travel_Rarely,Sales,20,2,Medical,4,Female,3,1,Sales Representative,2,Married,2148,0,Yes,11,3,3,0,6,3,3,5,1,1,4,297697,0.40503,11.5494,0.41293,0.55309,0.22839
801,28,Yes,Travel_Frequently,Sales,1,3,Medical,1,Male,2,1,Sales Representative,2,Divorced,2596,1,No,15,3,1,2,1,2,3,1,0,0,0,173087,0.83556,5.5562,0.85185,0.26608,0.22666
953,31,Yes,Travel_Frequently,Sales,1,3,Life Sciences,4,Female,3,1,Sales Representative,2,Single,2302,1,Yes,11,3,1,0,3,2,4,3,2,2,2,197223,0.63582,7.1396,0.64822,0.34191,0.22163
265,28,Yes,Travel_Rarely,Sales,2,4,Life Sciences,1,Male,3,1,Sales Representative,3,Single,3485,2,No,11,3,3,0,5,5,1,0,0,0,0,230028,0.82246,5.5004,0.8385,0.26341,0.22087
732,20,Yes,Travel_Rarely,Sales,11,3,Medical,4,Female,2,1,Sales Representative,1,Single,2600,1,Yes,15,3,1,0,1,2,3,1,0,0,0,151996,0.9285,4.8717,0.94661,0.2333,0.22084
8,30,No,Travel_Rarely,Sales,24,1,Life Sciences,4,Male,3,1,Sales Representative,3,Divorced,2693,1,No,22,4,2,1,1,2,3,1,0,0,0,231081,0.61494,7.1507,0.62694,0.34244,0.21469
670,39,Yes,Travel_Rarely,Sales,6,3,Medical,4,Male,3,1,Sales Representative,1,Married,2404,7,Yes,21,4,4,0,8,2,1,2,2,2,2,227301,0.55237,7.8793,0.56314,0.37733,0.21249
843,28,Yes,Travel_Rarely,Sales,12,1,Life Sciences,3,Female,3,1,Sales Representative,4,Married,2515,1,Yes,11,3,4,0,1,4,2,1,1,0,0,186960,0.70056,6.1948,0.71422,0.29667,0.21189
172,19,Yes,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,1,1,Sales Representative,1,Single,2325,0,No,21,4,1,0,1,5,4,0,0,0,0,138682,0.86825,4.9707,0.88518,0.23804,0.21071
1380,27,Yes,Travel_Frequently,Sales,22,3,Human Resources,1,Female,2,1,Sales Representative,2,Married,2863,1,No,12,3,1,0,1,2,3,1,0,0,0,149658,0.98087,4.3561,1,0.20861,0.20861
1280,44,Yes,Travel_Frequently,Sales,1,2,Medical,3,Male,3,1,Sales Representative,2,Divorced,2342,1,Yes,12,3,3,3,6,2,2,5,3,2,3,190939,0.62302,6.794,0.63517,0.32536,0.20666
1313,31,Yes,Travel_Rarely,Sales,18,5,Human Resources,4,Male,4,1,Sales Representative,1,Married,2956,0,No,17,3,3,0,2,4,3,1,0,0,0,240979,0.62167,6.7935,0.63379,0.32534,0.2062
890,27,No,Travel_Rarely,Sales,14,3,Life Sciences,1,Male,3,1,Sales Representative,1,Married,2235,1,Yes,14,3,4,2,9,3,2,9,7,6,8,282689,0.39239,10.5402,0.40004,0.50476,0.20192
671,27,No,Travel_Rarely,Sales,4,3,Life Sciences,2,Female,3,1,Sales Representative,3,Single,2318,1,No,19,3,3,0,1,2,3,1,1,0,0,232555,0.49191,8.3605,0.5015,0.40038,0.20079
364,33,Yes,Travel_Rarely,Sales,5,3,Marketing,4,Female,3,1,Sales Representative,3,Single,2851,1,Yes,13,3,2,0,1,2,3,1,0,0,0,261796,0.51002,7.6522,0.51996,0.36646,0.19054
371,21,Yes,Travel_Rarely,Sales,12,3,Life Sciences,3,Female,4,1,Sales Representative,2,Single,2716,1,No,15,3,4,0,1,0,3,1,0,0,0,214280,0.59256,6.5746,0.60412,0.31485,0.19021
1376,32,Yes,Travel_Frequently,Sales,5,2,Life Sciences,1,Female,4,1,Sales Representative,3,Single,2432,3,Yes,14,3,1,0,8,2,3,4,1,0,3,134878,0.82516,4.6216,0.84125,0.22133,0.18619
726,35,Yes,Travel_Rarely,Sales,14,4,Other,3,Male,2,1,Sales Representative,2,Divorced,3743,1,Yes,24,4,4,1,5,2,1,4,2,0,2,284432,0.59714,6.3325,0.60878,0.30326,0.18462
829,18,Yes,Non-Travel,Sales,8,1,Medical,3,Male,3,1,Sales Representative,3,Single,1904,1,No,12,3,4,0,0,0,3,0,0,0,0,153809,0.5603,6.7318,0.57122,0.32238,0.18415
297,18,Yes,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,3,1,Sales Representative,3,Single,1420,1,No,13,3,3,0,0,2,3,0,0,0,0,113124,0.56768,6.6387,0.57875,0.31792,0.184
289,26,Yes,Travel_Rarely,Sales,16,4,Medical,1,Male,3,1,Sales Representative,2,Divorced,2373,2,Yes,13,3,4,1,5,2,3,3,2,0,2,132765,0.79132,4.6623,0.80675,0.22328,0.18013
1057,28,Yes,Travel_Frequently,Sales,1,3,Technical Degree,1,Male,3,1,Sales Representative,3,Married,2909,3,No,15,3,4,1,5,3,4,3,2,1,2,295993,0.42683,8.4792,0.43515,0.40606,0.1767
230,29,Yes,Travel_Rarely,Sales,18,1,Medical,3,Male,2,1,Sales Representative,4,Single,2389,1,Yes,13,3,3,0,4,3,2,4,3,0,1,152706,0.66292,5.3267,0.67584,0.25509,0.1724
324,28,Yes,Travel_Rarely,Sales,2,4,Medical,1,Male,1,1,Sales Representative,4,Married,3464,5,Yes,13,3,4,0,5,4,2,3,2,2,2,276512,0.51831,6.652,0.52842,0.31856,0.16833
749,26,Yes,Non-Travel,Sales,29,2,Medical,2,Male,1,2,Sales Representative,1,Single,4969,8,No,18,3,4,0,7,6,3,2,2,2,2,264728,0.76739,4.4397,0.78236,0.21261,0.16634
351,42,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,3,Divorced,2696,0,Yes,11,3,3,1,4,5,3,3,2,1,0,260814,0.41788,8.0618,0.42603,0.38607,0.16448
1013,31,Yes,Travel_Frequently,Sales,1,4,Life Sciences,2,Female,1,1,Sales Representative,3,Single,1359,1,No,12,3,2,0,1,3,3,1,0,0,0,58050,0.93265,3.5596,0.95084,0.17047,0.16209
854,19,No,Travel_Rarely,Sales,9,2,Life Sciences,3,Male,3,1,Sales Representative,1,Single,2552,1,No,25,4,3,0,1,4,3,1,1,0,0,266721,0.37036,8.7095,0.37758,0.41709,0.15749
287,44,Yes,Travel_Frequently,Sales,24,3,Life Sciences,4,Male,3,1,Sales Representative,3,Divorced,3161,3,Yes,22,4,4,1,19,0,1,1,0,0,0,282156,0.42345,7.4385,0.4317,0.35622,0.15378
1086,31,Yes,Travel_Frequently,Sales,3,3,Life Sciences,4,Female,3,1,Sales Representative,3,Single,4084,1,No,12,3,1,0,7,2,1,7,2,7,7,199393,0.77005,4.0686,0.78506,0.19484,0.15296
916,21,Yes,Travel_Frequently,Sales,10,2,Life Sciences,1,Female,2,1,Sales Representative,3,Single,2625,1,No,20,4,3,0,2,2,1,2,2,2,2,126957,0.7635,4.0304,0.77839,0.19301,0.15024
1214,23,Yes,Travel_Rarely,Sales,7,3,Life Sciences,3,Male,3,1,Sales Representative,4,Divorced,2275,1,Yes,21,4,2,1,3,2,3,3,2,0,2,124710,0.673,4.5681,0.68612,0.21876,0.1501
1168,35,Yes,Travel_Rarely,Sales,15,2,Medical,1,Male,1,2,Sales Representative,4,Divorced,5440,6,Yes,14,3,4,2,7,2,2,2,2,2,2,276431,0.71901,4.2345,0.73303,0.20279,0.14865
480,24,Yes,Travel_Frequently,Sales,7,3,Life Sciences,1,Female,3,1,Sales Representative,3,Married,2886,1,Yes,16,3,4,1,6,4,3,6,3,1,2,132631,0.78535,3.8297,0.80067,0.1834,0.14684
1205,48,Yes,Travel_Frequently,Sales,7,2,Medical,4,Female,3,1,Sales Representative,3,Married,2655,2,Yes,11,3,3,2,19,3,3,9,7,7,7,142729,0.66601,4.4799,0.67899,0.21454,0.14567
295,37,No,Travel_Frequently,Sales,9,3,Medical,2,Male,3,1,Sales Representative,4,Married,2326,1,Yes,12,3,3,3,4,3,2,4,2,1,2,198269,0.40777,7.1034,0.41572,0.34017,0.14142
664,21,Yes,Travel_Rarely,Sales,18,1,Other,4,Female,3,1,Sales Representative,4,Single,2693,1,No,19,3,1,0,1,3,2,1,0,0,0,112543,0.81998,3.4826,0.83597,0.16678,0.13942
150,19,No,Travel_Rarely,Sales,3,1,Medical,2,Female,3,1,Sales Representative,2,Single,1483,1,No,14,3,4,0,1,3,3,1,0,0,0,181744,0.27961,10.2126,0.28507,0.48908,0.13942
933,29,Yes,Travel_Rarely,Sales,7,3,Technical Degree,2,Female,3,1,Sales Representative,3,Divorced,3339,3,Yes,13,3,1,2,10,2,3,7,7,7,7,217766,0.52375,5.4349,0.53397,0.26027,0.13898
1119,26,No,Travel_Rarely,Sales,3,3,Life Sciences,1,Female,3,1,Sales Representative,4,Married,2061,1,No,21,4,1,0,1,5,3,1,0,0,0,231344,0.30184,9.354,0.30773,0.44796,0.13785
753,36,Yes,Travel_Rarely,Sales,16,4,Life Sciences,3,Female,4,1,Sales Representative,1,Single,2743,1,No,16,3,3,0,18,1,3,17,13,15,14,214117,0.43178,6.505,0.4402,0.31152,0.13713
637,35,Yes,Travel_Frequently,Sales,25,4,Life Sciences,4,Female,3,1,Sales Representative,2,Divorced,2022,1,Yes,19,3,1,1,10,3,2,10,2,7,8,76297,0.8918,3.1445,0.90919,0.15059,0.13691
728,18,No,Non-Travel,Sales,5,2,Life Sciences,2,Male,3,1,Sales Representative,4,Single,1051,1,No,15,3,4,0,0,2,3,0,0,0,0,123514,0.28622,9.7934,0.2918,0.469,0.13685
778,21,Yes,Travel_Rarely,Sales,10,3,Life Sciences,3,Female,2,1,Sales Representative,1,Single,1416,1,No,13,3,1,0,1,6,2,1,0,1,0,170380,0.2792,10.0271,0.28465,0.48019,0.13668
417,38,No,Travel_Frequently,Sales,2,2,Life Sciences,4,Male,3,1,Sales Representative,4,Married,1702,1,Yes,23,4,3,1,1,3,3,1,0,0,0,208468,0.27184,10.207,0.27714,0.48881,0.13547
567,47,Yes,Travel_Frequently,Sales,27,2,Life Sciences,2,Female,4,2,Sales Representative,3,Single,6397,4,Yes,12,3,4,0,8,2,3,5,4,1,3,266223,0.79986,3.4681,0.81546,0.16608,0.13543
1423,35,No,Travel_Rarely,Sales,11,4,Medical,4,Male,3,1,Sales Representative,3,Married,2660,7,Yes,11,3,3,1,5,3,3,2,2,2,2,281752,0.31388,8.8268,0.32,0.42271,0.13527
981,31,Yes,Travel_Frequently,Sales,2,3,Life Sciences,3,Female,2,1,Sales Representative,4,Single,2785,7,No,14,3,3,0,3,3,4,1,0,0,0,163461,0.56456,4.8911,0.57557,0.23423,0.13482
1033,39,Yes,Non-Travel,Sales,2,3,Life Sciences,1,Female,2,1,Sales Representative,1,Single,3646,2,Yes,23,4,2,0,11,2,4,1,0,0,0,207057,0.5804,4.7325,0.59172,0.22664,0.1341
1059,34,Yes,Travel_Rarely,Sales,24,4,Medical,1,Female,2,2,Sales Representative,2,Single,4599,0,Yes,23,4,3,0,16,2,4,15,9,10,10,172378,0.86243,3.1235,0.87925,0.14958,0.13152
24,21,No,Travel_Rarely,Sales,15,2,Life Sciences,3,Male,3,1,Sales Representative,4,Single,1232,1,No,14,3,4,0,0,6,3,0,0,0,0,270073,0.14373,18.2679,0.14653,0.87484,0.12819
235,33,Yes,Travel_Rarely,Sales,14,3,Medical,3,Male,3,1,Sales Representative,4,Married,2436,5,Yes,13,3,3,1,8,2,1,5,4,0,4,124733,0.5899,4.267,0.6014,0.20434,0.12289
444,22,Yes,Travel_Frequently,Sales,4,1,Technical Degree,3,Male,2,1,Sales Representative,3,Single,3894,5,No,16,3,3,0,4,3,3,2,2,1,2,216665,0.52777,4.6367,0.53806,0.22205,0.11948
514,20,Yes,Travel_Rarely,Sales,10,1,Medical,4,Male,3,1,Sales Representative,3,Single,1009,1,Yes,11,3,4,0,1,5,3,1,0,1,1,63174,0.46845,5.2175,0.47759,0.24986,0.11933
668,41,Yes,Travel_Rarely,Sales,2,4,Life Sciences,2,Female,1,1,Sales Representative,4,Divorced,2778,4,Yes,13,3,3,1,10,1,2,7,7,1,0,118278,0.68338,3.5481,0.6967,0.16991,0.11838
112,34,Yes,Travel_Frequently,Sales,7,3,Life Sciences,1,Male,1,2,Sales Representative,3,Single,6074,1,Yes,24,4,4,0,9,3,3,9,7,0,6,214973,0.81934,2.9494,0.83532,0.14124,0.11798
590,29,Yes,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,2,1,Sales Representative,1,Married,2319,1,Yes,11,3,4,1,1,1,3,1,0,0,0,114988,0.57954,4.1321,0.59084,0.19788,0.11692
526,24,Yes,Travel_Rarely,Sales,3,2,Life Sciences,1,Female,3,2,Sales Representative,3,Single,4577,9,No,14,3,1,0,4,3,3,2,2,2,0,196638,0.6565,3.5802,0.6693,0.17145,0.11475
15,28,Yes,Travel_Rarely,Sales,24,3,Life Sciences,3,Male,2,1,Sales Representative,3,Single,2028,5,Yes,14,3,2,0,6,4,3,4,2,0,3,61039,0.91657,2.5082,0.93444,0.12011,0.11224
1312,18,No,Non-Travel,Sales,14,3,Medical,2,Female,3,1,Sales Representative,3,Single,1514,1,No,16,3,3,0,0,4,1,0,0,0,0,148425,0.28046,8.1696,0.28593,0.39124,0.11187
1061,24,Yes,Travel_Frequently,Sales,9,3,Medical,2,Male,3,1,Sales Representative,1,Single,3172,2,Yes,11,3,3,0,4,2,2,0,0,0,0,127574,0.677,3.3516,0.6902,0.1605,0.11078
422,29,Yes,Travel_Rarely,Sales,25,5,Technical Degree,3,Female,2,1,Sales Representative,2,Married,2546,5,No,16,3,2,0,6,2,4,2,2,1,1,126007,0.53406,4.1243,0.54448,0.19751,0.10754
954,44,Yes,Travel_Rarely,Sales,3,3,Life Sciences,1,Male,3,1,Sales Representative,1,Married,2362,4,No,12,3,3,0,10,4,4,3,2,1,2,142338,0.43663,5.0218,0.44514,0.24049,0.10705
763,26,Yes,Travel_Frequently,Sales,2,3,Life Sciences,1,Male,3,1,Sales Representative,1,Married,2042,6,Yes,14,3,2,1,6,2,3,3,2,1,2,60801,0.87905,2.4813,0.89619,0.11883,0.10649
70,36,Yes,Travel_Rarely,Sales,9,3,Medical,4,Male,2,1,Sales Representative,3,Married,3388,0,Yes,17,3,1,1,2,0,2,1,0,0,0,194214,0.45295,4.777,0.46179,0.22877,0.10564
383,26,Yes,Travel_Frequently,Sales,3,1,Technical Degree,3,Male,3,1,Sales Representative,1,Single,3102,0,No,22,4,3,0,7,2,3,6,4,0,4,137243,0.58454,3.6869,0.59594,0.17657,0.10522
458,18,Yes,Travel_Frequently,Sales,5,3,Marketing,2,Male,3,1,Sales Representative,2,Single,1878,1,Yes,14,3,4,0,0,3,3,0,0,0,0,52879,0.91318,2.3464,0.93098,0.11237,0.10461
1069,28,Yes,Travel_Frequently,Sales,2,2,Medical,3,Male,2,1,Sales Representative,1,Single,2561,7,No,11,3,3,0,8,2,2,0,0,0,0,221941,0.29267,7.2218,0.29838,0.34585,0.10319
193,35,Yes,Travel_Rarely,Sales,23,2,Life Sciences,2,Male,2,2,Sales Representative,3,Married,5916,3,Yes,13,3,1,0,8,1,3,1,0,0,1,167562,0.88538,2.3603,0.90265,0.11303,0.10203
43,26,Yes,Travel_Rarely,Sales,25,3,Life Sciences,1,Male,1,1,Sales Representative,3,Single,2293,1,No,12,3,3,0,1,2,2,1,0,0,1,61250,0.93808,2.226,0.95638,0.1066,0.10195
793,33,Yes,Travel_Frequently,Sales,29,4,Medical,1,Female,2,2,Sales Representative,3,Single,4508,1,No,22,4,2,0,14,4,3,13,7,3,8,222487,0.50751,4.1128,0.5174,0.19696,0.10191
1024,56,No,Travel_Rarely,Sales,1,2,Life Sciences,1,Female,3,1,Sales Representative,1,Married,2066,2,No,22,4,4,1,5,3,4,3,2,1,0,290559,0.17594,11.7199,0.17937,0.56126,0.10067
982,35,Yes,Travel_Frequently,Sales,18,4,Marketing,4,Female,3,2,Sales Representative,3,Married,4614,0,Yes,18,3,3,1,5,0,2,4,2,3,2,241419,0.47171,4.3603,0.48091,0.20881,0.10042
762,36,Yes,Travel_Rarely,Sales,15,3,Other,1,Male,3,2,Sales Representative,3,Divorced,4834,7,No,14,3,2,1,9,3,2,1,0,0,0,278579,0.42403,4.8024,0.4323,0.22998,0.099421
294,26,Yes,Travel_Rarely,Sales,4,4,Marketing,4,Male,2,2,Sales Representative,4,Single,5828,1,Yes,12,3,2,0,8,0,3,8,7,7,4,253930,0.55797,3.6309,0.56885,0.17388,0.098911
